Experiment	Sweeper	
Saved Date	30.06.2023 16:32:21	
User		
Date		
Start time	30.06.2023 16:20:16	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-83.499996E-6	30.918539E-3	-69.264919E-6	30.468764E-3	7.1983472E-6	30.654822E-3	906.05511E-9	31.096598E-3	25.192125E-6
-82.999999E-6	30.893203E-3	-16.161846E-6	30.410677E-3	-73.313684E-6	30.580735E-3	89.414352E-6	31.111959E-3	-59.626378E-6
-82.499995E-6	30.901523E-3	74.907468E-6	30.369248E-3	-42.088661E-6	30.591490E-3	32.979216E-6	31.154336E-3	-77.245357E-6
-81.999999E-6	30.900665E-3	55.759509E-6	30.396011E-3	50.801613E-6	30.566623E-3	-67.045272E-6	31.179838E-3	5.0811723E-6
-81.499995E-6	30.884746E-3	-40.214556E-6	30.425929E-3	40.330273E-6	30.486969E-3	-65.247179E-6	31.209972E-3	38.911774E-6
-80.999998E-6	30.861882E-3	-73.907526E-6	30.557444E-3	-34.660385E-6	30.458611E-3	54.417054E-6	31.306401E-3	8.4331105E-6
-80.500002E-6	30.838450E-3	-21.558033E-6	30.572291E-3	-57.235393E-6	30.437928E-3	62.902531E-6	31.343699E-3	-68.584995E-6
-79.999998E-6	30.816941E-3	49.209222E-6	30.634807E-3	21.768741E-6	30.295547E-3	-32.706772E-6	31.356834E-3	-61.475905E-6
-79.499994E-6	30.800076E-3	60.290316E-6	30.667637E-3	79.706675E-6	30.231001E-3	-83.728810E-6	31.337976E-3	41.654563E-6
-78.999998E-6	30.808082E-3	-15.896725E-6	30.738423E-3	30.679865E-6	30.211564E-3	-4.1725380E-6	31.354006E-3	53.243446E-6
-78.500001E-6	30.757997E-3	-65.931214E-6	30.704459E-3	-78.578749E-6	30.220894E-3	66.679422E-6	31.340279E-3	-9.9725748E-6
-77.999997E-6	30.758051E-3	-64.458989E-6	30.702412E-3	-39.343013E-6	30.299749E-3	15.822692E-6	31.308878E-3	-69.620677E-6
-77.499993E-6	30.761084E-3	44.998644E-6	30.745378E-3	62.209518E-6	30.357137E-3	-71.699695E-6	31.273413E-3	-62.960367E-6
-76.999997E-6	30.751510E-3	54.275326E-6	30.751629E-3	43.761032E-6	30.470474E-3	-55.394659E-6	31.271785E-3	55.163062E-6
-76.500000E-6	30.702077E-3	5.5423893E-6	30.773727E-3	-36.750975E-6	30.581404E-3	35.656518E-6	31.236228E-3	64.047723E-6
-75.999997E-6	30.670088E-3	-65.392727E-6	30.778445E-3	-82.412305E-6	30.628791E-3	53.324540E-6	31.183943E-3	-26.700514E-6
-75.500000E-6	30.670719E-3	-65.885812E-6	30.760480E-3	-8.4189096E-6	30.656980E-3	-38.082981E-6	31.144911E-3	-75.607924E-6
-74.999996E-6	30.686287E-3	42.744738E-6	30.793054E-3	63.250525E-6	30.665630E-3	-96.790041E-6	31.114193E-3	-14.175535E-6
-74.500000E-6	30.685550E-3	60.251576E-6	30.838771E-3	4.2237980E-6	30.673278E-3	-12.841861E-6	31.075291E-3	71.110670E-6
-73.999996E-6	30.704148E-3	25.611471E-6	30.907633E-3	-84.424384E-6	30.679155E-3	73.709409E-6	31.032126E-3	54.136475E-6
-73.499999E-6	30.689618E-3	-75.843898E-6	30.997612E-3	-52.197243E-6	30.667527E-3	18.848950E-6	31.026993E-3	-14.945253E-6
-72.999996E-6	30.712990E-3	-68.640737E-6	31.063916E-3	46.657518E-6	30.736702E-3	-74.597032E-6	31.028513E-3	-79.526100E-6
-72.499999E-6	30.708436E-3	10.082059E-6	31.114437E-3	54.210566E-6	30.706527E-3	-49.021066E-6	31.031830E-3	278.31607E-9
-71.999995E-6	30.697044E-3	67.565059E-6	31.197865E-3	-30.020647E-6	30.751789E-3	42.857824E-6	30.970646E-3	72.334493E-6
-71.499999E-6	30.652681E-3	34.210621E-6	31.244826E-3	-90.059351E-6	30.814083E-3	68.355999E-6	31.113023E-3	27.609865E-6
-70.999995E-6	30.637961E-3	-53.219872E-6	31.261642E-3	-14.990531E-6	30.909548E-3	-36.307112E-6	31.136118E-3	-44.732617E-6
-70.499998E-6	30.672343E-3	-79.707032E-6	31.167051E-3	78.620978E-6	31.004839E-3	-82.665392E-6	31.086212E-3	-65.990847E-6
-69.999995E-6	30.656146E-3	-2.7734313E-6	31.103294E-3	31.828735E-6	31.064661E-3	-1.5546116E-6	31.034457E-3	-3.7028844E-6
-69.499998E-6	30.628035E-3	46.349258E-6	31.066887E-3	-80.298792E-6	31.114658E-3	75.428317E-6	31.024301E-3	62.933526E-6
-69.000002E-6	30.584142E-3	61.163060E-6	31.000743E-3	-67.674016E-6	31.076968E-3	19.582763E-6	31.007385E-3	8.1242752E-6
-68.499998E-6	30.565944E-3	-19.774265E-6	30.925881E-3	27.626475E-6	31.062737E-3	-61.548904E-6	31.014314E-3	-46.254590E-6
-67.999994E-6	30.556535E-3	-68.042551E-6	30.918295E-3	50.567749E-6	30.945487E-3	-36.078152E-6	31.016903E-3	-82.323146E-6
-67.499997E-6	30.699393E-3	-55.995930E-6	30.959958E-3	-13.828006E-6	30.871967E-3	41.101535E-6	30.972481E-3	-2.2934262E-6
-67.000001E-6	30.759282E-3	41.068848E-6	30.994307E-3	-68.834066E-6	30.790377E-3	48.596932E-6	30.997276E-3	53.225649E-6
-66.499997E-6	30.739103E-3	46.374564E-6	30.962279E-3	-8.9000478E-6	30.708995E-3	-11.083397E-6	30.952774E-3	20.712363E-6
-65.999993E-6	30.709827E-3	13.206575E-6	30.996095E-3	67.698078E-6	30.659979E-3	-100.15000E-6	30.899761E-3	-85.219443E-6
-65.499997E-6	30.682182E-3	-52.525160E-6	30.950593E-3	20.959635E-6	30.614929E-3	-8.8122133E-6	30.963738E-3	-49.026192E-6
-65.000000E-6	30.688459E-3	-72.863972E-6	30.900991E-3	-67.710323E-6	30.567421E-3	58.194371E-6	30.969681E-3	42.970816E-6
-64.499996E-6	30.674430E-3	-19.493784E-6	30.914742E-3	-49.336220E-6	30.624835E-3	29.721108E-6	30.933848E-3	70.919610E-6
-63.999993E-6	30.719746E-3	62.181076E-6	30.836897E-3	40.699535E-6	30.589506E-3	-58.446843E-6	30.931300E-3	-758.34470E-9
-63.499996E-6	30.798454E-3	51.466057E-6	30.854190E-3	61.805593E-6	30.586082E-3	-73.070958E-6	30.901127E-3	-78.351419E-6
-62.999999E-6	30.721767E-3	-7.3231549E-6	30.765098E-3	-4.8038933E-6	30.563314E-3	4.6962182E-6	30.913660E-3	-21.378084E-6
-62.499996E-6	30.683152E-3	-69.898066E-6	30.654164E-3	-96.250194E-6	30.584600E-3	79.286590E-6	30.897463E-3	55.774213E-6
-61.999999E-6	30.606339E-3	-63.799809E-6	30.566690E-3	-13.038266E-6	30.578952E-3	929.07891E-9	30.904425E-3	34.073295E-6
-61.500003E-6	30.570280E-3	47.172292E-6	30.475967E-3	68.518915E-6	30.539161E-3	-87.814056E-6	30.870060E-3	-22.381284E-6
-60.999999E-6	30.602865E-3	78.104349E-6	30.445773E-3	40.947827E-6	30.461693E-3	-45.184031E-6	30.839037E-3	-68.438458E-6
-60.499999E-6	30.591303E-3	22.517179E-6	30.352786E-3	-56.811921E-6	30.474726E-3	66.143592E-6	30.799644E-3	20.267302E-6
-59.999998E-6	30.590745E-3	-54.547181E-6	30.373819E-3	-78.912875E-6	30.458273E-3	73.693504E-6	30.631131E-3	55.175937E-6
-59.499998E-6	30.618904E-3	-75.476819E-6	30.417992E-3	17.043105E-6	30.413197E-3	-21.694070E-6	30.625852E-3	26.980557E-6
-58.999998E-6	30.648386E-3	-13.028636E-6	30.654179E-3	83.512714E-6	30.396568E-3	-71.790273E-6	30.604864E-3	-63.785803E-6
-58.499998E-6	30.735575E-3	69.421418E-6	30.729186E-3	-1.3828603E-6	30.351203E-3	-17.814096E-6	30.565094E-3	-61.593571E-6
-57.999998E-6	30.741593E-3	51.747964E-6	30.757358E-3	-99.811208E-6	30.307606E-3	66.098502E-6	30.490488E-3	35.752029E-6
-57.499998E-6	30.834647E-3	-15.442907E-6	30.856157E-3	-38.698909E-6	30.366698E-3	32.411685E-6	30.484905E-3	73.984011E-6
-56.999997E-6	30.858623E-3	-70.337315E-6	30.871209E-3	52.754778E-6	30.304873E-3	-64.234271E-6	30.574407E-3	-11.241377E-6
-56.499997E-6	30.872345E-3	-54.455759E-6	30.889817E-3	54.103344E-6	30.305566E-3	-82.306316E-6	30.623369E-3	-78.707038E-6
-55.999997E-6	30.984756E-3	34.444507E-6	30.899482E-3	-60.390717E-6	30.249618E-3	28.631019E-6	30.664932E-3	-49.262755E-6
-55.499997E-6	30.963749E-3	91.346068E-6	30.924464E-3	-64.306776E-6	30.230554E-3	82.680381E-6	30.686233E-3	47.525788E-6
-54.999997E-6	30.988641E-3	12.522594E-6	30.916451E-3	14.600536E-6	30.288106E-3	25.308529E-6	30.751459E-3	71.697505E-6
-54.499997E-6	31.028293E-3	-42.691638E-6	30.920293E-3	72.258212E-6	30.301986E-3	-72.596602E-6	30.851522E-3	-35.126726E-6
-53.999996E-6	31.071080E-3	-67.489484E-6	30.936873E-3	6.9945804E-6	30.479874E-3	-57.958972E-6	30.905573E-3	-90.722911E-6
-53.499996E-6	30.995168E-3	629.32747E-9	30.953240E-3	-64.230720E-6	30.452419E-3	33.105851E-6	30.967401E-3	-4.6164564E-6
-52.999996E-6	31.057242E-3	70.140748E-6	31.020060E-3	-29.162473E-6	30.440040E-3	42.459378E-6	30.986518E-3	70.054390E-6
-52.499996E-6	31.059589E-3	37.995698E-6	31.088084E-3	38.228809E-6	30.535568E-3	-26.890742E-6	31.026559E-3	19.639372E-6
-51.999996E-6	31.028409E-3	-49.580194E-6	31.162474E-3	47.512160E-6	30.593883E-3	-97.247626E-6	31.048592E-3	-50.775401E-6
-51.499999E-6	31.065989E-3	-76.010750E-6	31.280451E-3	-43.953103E-6	30.626968E-3	-18.997793E-6	31.050017E-3	-65.282504E-6
-50.999999E-6	31.059921E-3	-54.221000E-6	31.330563E-3	-54.393811E-6	30.647999E-3	68.278554E-6	31.033425E-3	27.379525E-6
-50.499999E-6	31.055311E-3	55.841047E-6	31.422038E-3	44.867105E-6	30.687196E-3	31.297695E-6	31.033697E-3	66.176275E-6
-49.999999E-6	31.041356E-3	79.332000E-6	31.372320E-3	80.837846E-6	30.710950E-3	-59.197489E-6	31.065643E-3	11.509099E-6
-49.499999E-6	31.059418E-3	3.5274286E-6	31.329133E-3	3.3470178E-6	30.646715E-3	-48.324997E-6	31.062327E-3	-71.638809E-6
-48.999998E-6	31.075353E-3	-71.544244E-6	31.260446E-3	-100.59973E-6	30.634589E-3	44.739787E-6	31.058617E-3	-52.230123E-6
-48.499998E-6	31.093448E-3	-47.876390E-6	31.193363E-3	-32.267057E-6	30.671027E-3	62.962456E-6	31.061223E-3	63.870080E-6
-47.999998E-6	31.071408E-3	17.978966E-6	31.141965E-3	62.897387E-6	30.681061E-3	-8.6333494E-6	31.094300E-3	81.265884E-6
-47.499998E-6	31.070640E-3	76.189150E-6	31.048756E-3	46.654721E-6	30.704739E-3	-66.061919E-6	31.102300E-3	-35.874684E-6
-46.999998E-6	31.044286E-3	29.587134E-6	31.056928E-3	-44.735280E-6	30.721471E-3	-17.263841E-6	31.096850E-3	-60.266644E-6
-46.499998E-6	30.984646E-3	-62.687483E-6	31.035081E-3	-77.172226E-6	30.760894E-3	72.161740E-6	31.202035E-3	-16.444124E-6
-45.999997E-6	31.070136E-3	-82.473525E-6	31.082885E-3	24.290473E-6	30.836573E-3	30.769344E-6	31.182285E-3	65.337146E-6
-45.499997E-6	31.112282E-3	-1.9049381E-6	31.027194E-3	74.506403E-6	30.982614E-3	-72.414186E-6	31.266965E-3	31.992382E-6
-44.999997E-6	31.097561E-3	75.337550E-6	31.051420E-3	-12.011451E-6	31.042846E-3	-57.090365E-6	31.336527E-3	-53.216307E-6
-44.499997E-6	31.113112E-3	33.600216E-6	31.037757E-3	-87.568915E-6	31.017909E-3	54.822336E-6	31.566307E-3	-57.671023E-6
-43.999997E-6	31.107098E-3	-27.438149E-6	31.036507E-3	-20.576199E-6	30.969081E-3	66.746252E-6	31.686347E-3	20.186677E-6
-43.499997E-6	31.102443E-3	-64.551961E-6	31.002805E-3	52.851050E-6	30.885940E-3	-22.476586E-6	31.684920E-3	75.231641E-6
-42.999996E-6	31.092267E-3	15.058476E-6	30.972332E-3	34.236800E-6	30.722775E-3	-66.086090E-6	31.722687E-3	10.277076E-6
-42.499996E-6	31.080663E-3	65.036773E-6	30.956246E-3	-46.553629E-6	30.669479E-3	-5.8143596E-6	31.746261E-3	-89.544272E-6
-41.999996E-6	31.161221E-3	57.594651E-6	30.886251E-3	-71.944036E-6	30.598314E-3	95.915588E-6	31.739768E-3	-40.344203E-6
