Experiment	Sweeper	
Saved Date	30.06.2023 19:41:39	
User		
Date		
Start time	30.06.2023 19:29:34	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-83.499996E-6	30.630620E-3	-13.986687E-6	30.797288E-3	32.351014E-6	30.956380E-3	55.465378E-6	31.248050E-3	-3.2078783E-6
-82.999999E-6	30.586150E-3	68.274363E-6	30.793117E-3	-67.653760E-6	30.952951E-3	-60.960159E-6	31.333152E-3	54.904143E-6
-82.499995E-6	30.570455E-3	70.724425E-6	30.767605E-3	-83.991086E-6	30.973071E-3	-100.96878E-6	31.361379E-3	54.909277E-6
-81.999999E-6	30.551679E-3	4.5225447E-6	30.759266E-3	342.88135E-9	30.986883E-3	-58.116799E-6	31.405311E-3	-48.521037E-6
-81.499995E-6	30.546308E-3	-56.035813E-6	30.760072E-3	72.298259E-6	30.969253E-3	42.690463E-6	31.376060E-3	-67.911205E-6
-80.999998E-6	30.578420E-3	-69.043192E-6	30.768810E-3	55.821896E-6	31.020904E-3	77.191187E-6	31.345244E-3	-36.539852E-6
-80.500002E-6	30.608891E-3	36.297453E-6	30.767540E-3	-19.377065E-6	31.069832E-3	8.5989477E-6	31.221768E-3	45.758577E-6
-79.999998E-6	30.666068E-3	61.337334E-6	30.740798E-3	-58.397265E-6	31.085055E-3	-52.197007E-6	31.067308E-3	81.224694E-6
-79.499994E-6	30.675389E-3	43.527987E-6	30.762961E-3	-52.613610E-6	31.139599E-3	-50.404109E-6	31.032154E-3	23.800463E-6
-78.999998E-6	30.761743E-3	-54.535762E-6	30.743925E-3	43.139062E-6	31.214295E-3	14.519356E-6	31.002797E-3	-28.735687E-6
-78.500001E-6	30.799182E-3	-103.25481E-6	30.725500E-3	78.567587E-6	31.260841E-3	55.706805E-6	30.994238E-3	-74.462128E-6
-77.999997E-6	30.864149E-3	-12.593956E-6	30.846123E-3	23.504699E-6	31.329032E-3	32.386655E-6	30.999890E-3	-27.048942E-6
-77.499993E-6	30.934641E-3	37.613820E-6	30.891707E-3	-51.053565E-6	31.338785E-3	-28.776305E-6	30.995045E-3	40.075458E-6
-76.999997E-6	30.940341E-3	65.085937E-6	30.949725E-3	-71.084476E-6	31.400010E-3	-74.187519E-6	30.959515E-3	69.860806E-6
-76.500000E-6	30.976955E-3	-14.238998E-6	30.946745E-3	-17.638278E-6	31.424712E-3	-39.420094E-6	31.013761E-3	6.6683829E-6
-75.999997E-6	30.983474E-3	-60.403090E-6	30.921042E-3	35.810743E-6	31.460363E-3	58.962985E-6	30.948317E-3	-56.833767E-6
-75.500000E-6	31.051517E-3	-49.714934E-6	30.888027E-3	61.416096E-6	31.481337E-3	58.455451E-6	30.938046E-3	-95.568830E-6
-74.999996E-6	31.043129E-3	24.851004E-6	30.845601E-3	-15.215685E-6	31.468645E-3	23.178141E-6	30.902799E-3	-18.764151E-6
-74.500000E-6	31.033734E-3	73.624913E-6	30.730393E-3	-68.910354E-6	31.479035E-3	-72.362884E-6	30.880909E-3	64.781547E-6
-73.999996E-6	31.020518E-3	27.555428E-6	30.669859E-3	-61.350343E-6	31.440448E-3	-41.805728E-6	30.809155E-3	67.855995E-6
-73.499999E-6	31.049090E-3	-40.018072E-6	30.651160E-3	14.830651E-6	31.408124E-3	20.639347E-6	30.667759E-3	-23.152221E-6
-72.999996E-6	31.044936E-3	-61.380204E-6	30.585218E-3	76.357130E-6	31.362090E-3	67.084846E-6	30.582599E-3	-89.091031E-6
-72.499999E-6	31.052727E-3	-10.631370E-6	30.601339E-3	21.398517E-6	31.283058E-3	30.890849E-6	30.512577E-3	-82.799990E-6
-71.999995E-6	31.066807E-3	52.750456E-6	30.643849E-3	-50.257309E-6	31.270090E-3	-65.221153E-6	30.503834E-3	-5.1796455E-6
-71.499999E-6	31.035226E-3	44.676370E-6	30.719949E-3	-85.109888E-6	31.204769E-3	-91.709029E-6	30.544424E-3	54.619759E-6
-70.999995E-6	31.054666E-3	-15.980500E-6	30.821005E-3	-29.978546E-6	31.122776E-3	-26.300491E-6	30.632759E-3	43.214110E-6
-70.499998E-6	31.038899E-3	-85.211868E-6	30.910892E-3	41.993579E-6	31.153729E-3	57.644429E-6	30.738425E-3	-4.8142747E-6
-69.999995E-6	31.076295E-3	-67.280023E-6	30.972110E-3	57.097335E-6	31.173395E-3	45.601697E-6	30.944185E-3	-48.169175E-6
-69.499998E-6	31.094719E-3	16.668337E-6	31.010037E-3	11.559674E-6	31.146742E-3	-7.6679262E-6	30.980481E-3	-56.286324E-6
-69.000002E-6	31.081034E-3	69.573485E-6	31.032218E-3	-55.273347E-6	31.116823E-3	-70.488881E-6	30.991610E-3	-9.8092487E-6
-68.499998E-6	31.089457E-3	41.398416E-6	31.020526E-3	-66.404529E-6	31.126432E-3	-48.781501E-6	31.067297E-3	74.168536E-6
-67.999994E-6	31.108884E-3	-44.568027E-6	31.095374E-3	-2.6360808E-6	31.116046E-3	40.448260E-6	31.069722E-3	70.695285E-6
-67.499997E-6	31.157102E-3	-70.764050E-6	31.082815E-3	64.184766E-6	31.131599E-3	72.134302E-6	31.079130E-3	-1.5269653E-6
-67.000001E-6	31.217558E-3	-6.1495921E-6	31.088926E-3	63.199630E-6	31.134864E-3	30.112706E-6	31.081378E-3	-63.332329E-6
-66.499997E-6	31.269509E-3	70.151029E-6	31.097880E-3	-18.745461E-6	31.085964E-3	-62.921885E-6	31.146159E-3	-54.948439E-6
-65.999993E-6	31.203065E-3	58.567017E-6	31.088676E-3	-79.685604E-6	31.111186E-3	-70.668946E-6	30.997351E-3	2.8424158E-6
-65.499997E-6	31.368986E-3	-27.718874E-6	31.091075E-3	-43.803931E-6	31.140350E-3	7.7389004E-6	31.085940E-3	79.458339E-6
-65.000000E-6	31.417798E-3	-85.485153E-6	31.100653E-3	22.092812E-6	31.134689E-3	77.798701E-6	31.064460E-3	67.910143E-6
-64.499996E-6	31.415388E-3	-38.272894E-6	31.114455E-3	44.471904E-6	31.088240E-3	49.525082E-6	31.119864E-3	-7.7575805E-6
-63.999993E-6	31.421516E-3	51.886887E-6	31.131444E-3	47.139543E-6	31.091994E-3	-11.875360E-6	31.346861E-3	-74.580144E-6
-63.499996E-6	31.401820E-3	63.391977E-6	31.209286E-3	-44.934066E-6	31.094503E-3	-83.462808E-6	31.416330E-3	-86.042623E-6
-62.999999E-6	31.415675E-3	10.839286E-6	31.314120E-3	-85.213716E-6	31.113217E-3	-15.195799E-6	31.375349E-3	12.325029E-6
-62.499996E-6	31.376261E-3	-49.000082E-6	31.338200E-3	-14.807321E-6	31.075316E-3	42.885207E-6	31.247521E-3	40.889201E-6
-61.999999E-6	31.254757E-3	-61.525316E-6	31.397570E-3	45.563647E-6	31.035494E-3	72.872834E-6	31.163197E-3	52.254680E-6
-61.500003E-6	31.456701E-3	-2.1834096E-6	31.398032E-3	57.495865E-6	31.033287E-3	15.384723E-6	31.093510E-3	-16.000435E-6
-60.999999E-6	31.433068E-3	37.877766E-6	31.327046E-3	28.041122E-6	31.057747E-3	-89.182497E-6	31.092377E-3	-45.553777E-6
-60.499999E-6	31.405002E-3	30.398300E-6	31.220401E-3	-39.045757E-6	30.983921E-3	-74.332471E-6	31.069901E-3	-67.586094E-6
-59.999998E-6	31.338025E-3	-71.939656E-6	31.129697E-3	-96.050942E-6	30.971237E-3	21.974625E-6	31.041622E-3	12.203202E-6
-59.499998E-6	31.344820E-3	-81.278660E-6	31.062953E-3	-38.052203E-6	30.896593E-3	54.545264E-6	31.058971E-3	58.735804E-6
-58.999998E-6	31.319272E-3	28.456772E-6	31.003626E-3	36.244703E-6	30.775534E-3	40.620722E-6	31.037685E-3	48.379268E-6
-58.499998E-6	31.333081E-3	77.054647E-6	30.949358E-3	64.623724E-6	30.729074E-3	-38.523347E-6	31.271286E-3	-15.936024E-6
-57.999998E-6	31.277005E-3	50.936142E-6	30.958613E-3	32.941218E-6	30.686572E-3	-73.099531E-6	31.270768E-3	-95.119904E-6
-57.499998E-6	31.272739E-3	-32.520820E-6	30.936660E-3	-75.130687E-6	30.673094E-3	-23.033959E-6	31.223804E-3	-52.006555E-6
-56.999997E-6	31.241857E-3	-98.705277E-6	30.954665E-3	-67.091598E-6	30.615745E-3	51.914598E-6	31.160805E-3	6.7187143E-6
-56.499997E-6	31.252891E-3	6.3790908E-6	30.910378E-3	-26.701295E-6	30.601231E-3	68.086389E-6	31.050870E-3	77.221026E-6
-55.999997E-6	31.246837E-3	67.577930E-6	30.899234E-3	34.173911E-6	30.655649E-3	11.098797E-6	30.930998E-3	48.097216E-6
-55.499997E-6	31.289287E-3	54.838343E-6	30.898733E-3	63.115986E-6	30.715555E-3	-76.870092E-6	30.834740E-3	-49.393595E-6
-54.999997E-6	31.246807E-3	-49.763505E-6	30.831425E-3	15.654006E-6	30.742737E-3	-72.038893E-6	30.784603E-3	-73.950279E-6
-54.499997E-6	31.166365E-3	-99.840712E-6	30.752020E-3	-56.868394E-6	30.780755E-3	-8.9014038E-6	30.900793E-3	-67.548637E-6
-53.999996E-6	31.202957E-3	-15.048176E-6	30.702215E-3	-68.982146E-6	30.855536E-3	73.318493E-6	31.019771E-3	17.572358E-6
-53.499996E-6	31.214034E-3	64.223525E-6	30.605180E-3	-12.501023E-6	30.901995E-3	30.651638E-6	31.084629E-3	90.629248E-6
-52.999996E-6	31.233096E-3	48.907586E-6	30.608118E-3	73.092640E-6	30.940555E-3	-34.376801E-6	31.162966E-3	41.118099E-6
-52.499996E-6	31.199967E-3	-33.540102E-6	30.609692E-3	83.962979E-6	30.975698E-3	-78.557583E-6	31.234829E-3	-27.649387E-6
-51.999996E-6	31.242581E-3	-79.705977E-6	30.631779E-3	16.859763E-6	30.913932E-3	-44.474102E-6	31.221760E-3	-75.152275E-6
-51.499999E-6	31.231191E-3	-28.988950E-6	30.735679E-3	-47.708952E-6	30.951526E-3	39.948893E-6	31.231264E-3	-39.980267E-6
-50.999999E-6	31.263422E-3	51.801213E-6	30.827265E-3	-67.957524E-6	30.952629E-3	76.156073E-6	31.211358E-3	24.660792E-6
-50.499999E-6	31.206394E-3	38.109760E-6	30.901406E-3	-7.6581327E-6	30.990841E-3	15.903266E-6	31.191139E-3	68.788402E-6
-49.999999E-6	31.204490E-3	-22.568438E-6	30.992988E-3	78.980556E-6	30.908657E-3	-51.594587E-6	31.216128E-3	43.594362E-6
-49.499999E-6	31.208491E-3	-85.607819E-6	30.998562E-3	57.111531E-6	30.937035E-3	-78.561156E-6	31.093199E-3	-28.109316E-6
-48.999998E-6	31.226531E-3	-52.259486E-6	30.998569E-3	-18.473553E-6	30.973386E-3	-16.193475E-6	31.016883E-3	-77.008925E-6
-48.499998E-6	31.213185E-3	43.404725E-6	31.000422E-3	-68.645750E-6	30.985471E-3	40.618710E-6	31.007346E-3	-26.079173E-6
-47.999998E-6	31.235198E-3	66.184868E-6	31.005878E-3	-63.810439E-6	31.023558E-3	62.583320E-6	31.043243E-3	46.910260E-6
-47.499998E-6	31.220149E-3	-3.1760212E-6	31.003749E-3	-10.398254E-6	31.037116E-3	-8.8724328E-6	31.132901E-3	68.976340E-6
-46.999998E-6	31.175073E-3	-82.950428E-6	31.045005E-3	64.071042E-6	31.067966E-3	-80.151272E-6	31.185959E-3	16.756407E-6
-46.499998E-6	31.213673E-3	-23.709314E-6	31.066189E-3	53.508538E-6	31.123633E-3	-64.950873E-6	31.273615E-3	-69.719143E-6
-45.999997E-6	31.178346E-3	31.028059E-6	31.042531E-3	-19.539242E-6	31.154305E-3	11.342700E-6	31.249976E-3	-54.182747E-6
-45.499997E-6	31.223930E-3	63.274048E-6	31.110873E-3	-89.861198E-6	31.211462E-3	68.713336E-6	31.283554E-3	-610.42465E-9
-44.999997E-6	31.268511E-3	-9.0707990E-6	31.110438E-3	-40.073701E-6	31.267483E-3	33.932134E-6	31.342980E-3	65.772976E-6
-44.499997E-6	31.287253E-3	-88.287030E-6	31.242082E-3	19.550047E-6	31.302247E-3	-35.952908E-6	31.371027E-3	45.111268E-6
-43.999997E-6	31.323358E-3	-51.580955E-6	31.291448E-3	76.035853E-6	31.375203E-3	-59.095044E-6	31.372737E-3	-24.436391E-6
-43.499997E-6	31.313021E-3	38.479364E-6	31.383965E-3	36.899903E-6	31.417299E-3	-28.850167E-6	31.381570E-3	-91.286340E-6
-42.999996E-6	31.376868E-3	65.303873E-6	31.383995E-3	-54.122731E-6	31.402137E-3	47.915546E-6	31.352982E-3	-32.658852E-6
-42.499996E-6	31.365201E-3	-14.602363E-6	31.377472E-3	-65.989771E-6	31.419132E-3	67.254339E-6	31.364191E-3	23.687957E-6
-41.999996E-6	31.409249E-3	-69.490125E-6	31.345952E-3	-23.619608E-6	31.385142E-3	-12.548814E-6	31.286981E-3	67.885470E-6
-41.499996E-6	31.375669E-3	-29.818633E-6	31.279437E-3	59.855978E-6	31.352907E-3	-67.743582E-6	31.225478E-3	22.377828E-9
-40.999999E-6	31.431470E-3	44.176970E-6	31.189444E-3	64.246968E-6	31.293895E-3	-35.096113E-6	31.181164E-3	-90.094269E-6
-40.499999E-6	31.401396E-3	57.559755E-6	31.074611E-3	20.622074E-6	31.233184E-3	11.234553E-6	31.101935E-3	-64.769076E-6
-39.999999E-6	31.440612E-3	-21.010163E-6	30.998295E-3	-61.801824E-6	31.196626E-3	65.570544E-6	31.093113E-3	-12.245739E-6
-39.499999E-6	31.467825E-3	-108.92818E-6	30.957539E-3	-78.143363E-6	31.135270E-3	18.102912E-6	31.064548E-3	70.894173E-6
-38.999999E-6	31.450089E-3	-31.225714E-6	30.932177E-3	-6.3164493E-6	31.154875E-3	-39.060578E-6	31.041486E-3	34.838646E-6
-38.499995E-6	31.485453E-3	55.257948E-6	30.896656E-3	46.699261E-6	30.975677E-3	-62.422201E-6	31.034922E-3	-12.488506E-6
-37.999998E-6	31.483535E-3	46.399458E-6	30.899474E-3	62.791441E-6	30.963600E-3	-34.809673E-6	31.050276E-3	-77.360048E-6
-37.499995E-6	31.462941E-3	-31.635787E-6	30.861707E-3	-9.0721687E-6	30.953037E-3	48.983507E-6	31.046558E-3	-41.082792E-6
-36.999998E-6	31.445779E-3	-70.903254E-6	30.851213E-3	-55.965782E-6	30.931441E-3	78.687146E-6	31.006929E-3	35.066583E-6
-36.499994E-6	31.415459E-3	-26.172749E-6	30.738836E-3	-67.909197E-6	30.940648E-3	-3.0905517E-6	30.998589E-3	62.391031E-6
-35.999998E-6	31.437989E-3	73.710391E-6	30.777648E-3	-2.1184467E-6	30.929891E-3	-74.465024E-6	31.001542E-3	12.377272E-6
