Experiment	Sweeper	
Saved Date	04.07.2023 10:08:31	
User		
Date		
Start time	04.07.2023 09:08:05	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	40.719945E-3	981.92913E-6	41.322861E-3	875.34159E-6	41.184872E-3	993.01257E-6	41.250382E-3	961.95529E-6	41.595042E-3	992.33363E-6	40.858455E-3	902.18015E-6	41.063849E-3	1.0033033E-3	40.983658E-3	864.69814E-6	41.037709E-3	1.0118299E-3	41.273884E-3	973.00537E-6	41.556694E-3	915.30511E-6	41.154634E-3	943.05730E-6	40.789347E-3	950.71364E-6	41.305777E-3	1.0071207E-3	40.810443E-3	908.05825E-6	41.032169E-3	1.0042040E-3	41.235588E-3	906.31336E-6	41.056890E-3	929.81436E-6	41.236240E-3	888.19856E-6	41.063033E-3	973.16294E-6
-197.99999E-6	40.696073E-3	994.39139E-6	41.255001E-3	963.04179E-6	41.175980E-3	972.69344E-6	41.259050E-3	954.63591E-6	41.625459E-3	931.96618E-6	40.937670E-3	892.31483E-6	41.106556E-3	928.68553E-6	40.861588E-3	936.57296E-6	40.975042E-3	962.36647E-6	41.183833E-3	992.15296E-6	41.605443E-3	989.75014E-6	41.197117E-3	876.96884E-6	40.595345E-3	976.02134E-6	41.318480E-3	989.05782E-6	40.777713E-3	976.37769E-6	41.124377E-3	926.07358E-6	41.142430E-3	967.93415E-6	41.004337E-3	892.91990E-6	41.278120E-3	911.56655E-6	41.067392E-3	901.55570E-6
-195.99999E-6	40.635761E-3	927.71574E-6	41.257516E-3	959.60067E-6	41.168615E-3	901.83067E-6	41.383632E-3	858.83751E-6	41.624177E-3	898.76121E-6	41.013211E-3	927.30107E-6	41.126430E-3	896.16806E-6	40.875126E-3	1.0068399E-3	40.986974E-3	885.70325E-6	41.238666E-3	947.26915E-6	41.536033E-3	960.68851E-6	41.155204E-3	893.50820E-6	40.562633E-3	926.92004E-6	41.331891E-3	927.29577E-6	40.661044E-3	1.0062440E-3	41.110054E-3	893.44237E-6	41.134652E-3	1.0147727E-3	40.999927E-3	920.00427E-6	41.217394E-3	1.0160350E-3	41.081034E-3	864.79244E-6
-193.99999E-6	40.619966E-3	891.50522E-6	41.248426E-3	853.85394E-6	41.172385E-3	871.99331E-6	41.484330E-3	869.32420E-6	41.544072E-3	911.49373E-6	41.095089E-3	1.0001686E-3	41.095722E-3	945.50982E-6	40.819332E-3	996.30665E-6	40.942624E-3	890.28117E-6	41.337501E-3	872.17725E-6	41.416131E-3	864.08318E-6	41.157905E-3	946.21920E-6	40.716797E-3	899.69189E-6	41.303162E-3	885.00790E-6	40.565625E-3	992.41256E-6	41.129388E-3	885.74435E-6	41.180562E-3	959.84188E-6	41.004684E-3	975.43048E-6	41.204654E-3	996.62330E-6	41.057725E-3	945.94836E-6
-191.99999E-6	40.629685E-3	913.71272E-6	41.240405E-3	880.45804E-6	41.108072E-3	933.38784E-6	41.561678E-3	924.08218E-6	41.442312E-3	951.55468E-6	41.085642E-3	1.0084440E-3	41.089553E-3	993.42689E-6	40.832579E-3	912.77808E-6	40.963378E-3	979.73761E-6	41.492853E-3	940.93464E-6	41.266095E-3	863.83271E-6	41.155905E-3	990.69020E-6	41.000005E-3	861.04689E-6	41.353747E-3	872.13033E-6	40.373925E-3	896.73960E-6	41.169234E-3	949.63243E-6	41.161615E-3	911.94100E-6	41.026033E-3	1.0152167E-3	41.247524E-3	911.19332E-6	41.020799E-3	1.0133917E-3
-189.99999E-6	40.888060E-3	913.59252E-6	41.438896E-3	882.10771E-6	41.462112E-3	941.46613E-6	41.867562E-3	914.64416E-6	41.594412E-3	950.54304E-6	41.261602E-3	897.42406E-6	41.390084E-3	912.92488E-6	41.116610E-3	829.62873E-6	41.260555E-3	929.75132E-6	41.953381E-3	934.68674E-6	41.523900E-3	886.08032E-6	41.425392E-3	897.72616E-6	41.519985E-3	815.39334E-6	41.559841E-3	886.52229E-6	40.589608E-3	801.16332E-6	41.462462E-3	947.04493E-6	41.411478E-3	820.34210E-6	41.464601E-3	844.56074E-6	41.546639E-3	823.65162E-6	41.326046E-3	933.84087E-6
-187.99999E-6	40.900961E-3	930.69504E-6	41.395213E-3	937.78747E-6	41.474801E-3	910.00320E-6	41.693162E-3	935.42342E-6	41.533504E-3	945.61180E-6	41.151345E-3	833.57323E-6	41.376755E-3	862.24859E-6	41.096024E-3	838.41779E-6	41.231677E-3	891.60074E-6	42.078033E-3	916.55791E-6	41.371536E-3	915.40656E-6	41.394174E-3	807.05300E-6	41.546147E-3	867.04816E-6	41.385122E-3	914.75347E-6	40.567096E-3	838.67565E-6	41.484866E-3	868.32722E-6	41.306783E-3	849.46188E-6	41.514393E-3	801.53119E-6	41.470923E-3	882.29543E-6	41.393440E-3	860.87000E-6
-185.99999E-6	40.932965E-3	875.65667E-6	41.309413E-3	873.77866E-6	41.530792E-3	859.46440E-6	41.547332E-3	890.19432E-6	41.518360E-3	856.95530E-6	41.170858E-3	823.97292E-6	41.356873E-3	832.03177E-6	41.118376E-3	895.97551E-6	41.213974E-3	840.66531E-6	42.075858E-3	820.45834E-6	41.353982E-3	859.21958E-6	41.384719E-3	817.38253E-6	41.599013E-3	911.72609E-6	41.298248E-3	910.02433E-6	40.582553E-3	881.82522E-6	41.495744E-3	814.95038E-6	41.246329E-3	914.74492E-6	41.528624E-3	829.03373E-6	41.402254E-3	945.98497E-6	41.381892E-3	814.77041E-6
-183.99999E-6	40.994160E-3	817.20372E-6	41.266866E-3	824.10744E-6	41.509643E-3	799.74713E-6	41.513365E-3	830.89655E-6	41.531876E-3	797.26620E-6	41.165147E-3	849.31729E-6	41.358933E-3	861.69597E-6	41.074380E-3	940.37899E-6	41.220259E-3	823.06529E-6	42.033888E-3	820.45601E-6	41.318279E-3	790.69851E-6	41.603819E-3	878.22834E-6	41.603006E-3	900.00132E-6	41.159399E-3	858.28523E-6	40.686980E-3	944.24019E-6	41.517407E-3	822.00387E-6	41.236971E-3	918.89146E-6	41.683365E-3	903.76183E-6	41.279960E-3	888.62877E-6	41.486878E-3	829.94101E-6
-181.99999E-6	40.965240E-3	839.48218E-6	41.108195E-3	857.27824E-6	41.491318E-3	856.92573E-6	41.500241E-3	802.26437E-6	41.456543E-3	833.08661E-6	41.157592E-3	947.19481E-6	41.354258E-3	930.33112E-6	41.078862E-3	911.51911E-6	41.221328E-3	910.62911E-6	41.969713E-3	905.29950E-6	41.297179E-3	841.18807E-6	41.693177E-3	924.45803E-6	41.637011E-3	837.32774E-6	41.128304E-3	805.03291E-6	40.871456E-3	924.41548E-6	41.519236E-3	861.82146E-6	41.292351E-3	865.22015E-6	41.482456E-3	907.84766E-6	41.264202E-3	806.28722E-6	41.531555E-3	931.93568E-6
