Experiment	Sweeper	
Saved Date	30.06.2023 17:16:50	
User		
Date		
Start time	30.06.2023 17:04:45	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.102177E-3	13.310983E-6	30.930048E-3	66.664637E-6	30.450011E-3	95.094219E-6	31.446587E-3	47.565296E-6
-99.500001E-6	31.137045E-3	74.077914E-6	30.965224E-3	15.035414E-6	30.517716E-3	37.833433E-6	31.414032E-3	-4.4262961E-6
-98.999997E-6	31.152681E-3	50.742168E-6	30.971080E-3	-55.897784E-6	30.572796E-3	-18.553952E-6	31.403385E-3	-75.975142E-6
-98.500001E-6	31.195261E-3	-23.577666E-6	30.972902E-3	-65.386324E-6	30.678948E-3	-77.888639E-6	31.409647E-3	-31.690193E-6
-97.999997E-6	31.349316E-3	-63.717649E-6	30.975886E-3	-41.158073E-6	30.755591E-3	-46.336150E-6	31.310838E-3	15.647152E-6
-97.500000E-6	31.425573E-3	-57.206958E-6	31.052662E-3	34.948756E-6	30.808134E-3	27.379756E-6	31.471387E-3	74.066811E-6
-96.999996E-6	31.415269E-3	-34.259381E-6	31.122360E-3	79.206991E-6	30.847184E-3	77.227400E-6	31.441990E-3	33.934164E-6
-96.500000E-6	31.312414E-3	54.497261E-6	31.219320E-3	31.595860E-6	30.867731E-3	47.597936E-6	31.464390E-3	-39.801482E-6
-95.999996E-6	31.140570E-3	61.202736E-6	31.206602E-3	-32.913427E-6	30.868569E-3	-4.5001157E-6	31.440452E-3	-85.698462E-6
-95.500000E-6	31.045191E-3	12.310717E-6	31.068066E-3	-85.030930E-6	30.894976E-3	-68.165980E-6	31.404085E-3	-35.526115E-6
-94.999996E-6	31.029871E-3	-21.618171E-6	31.035846E-3	-64.165499E-6	30.925088E-3	-60.941606E-6	31.348202E-3	48.338730E-6
-94.499999E-6	31.029029E-3	-91.987349E-6	30.950705E-3	16.233298E-6	31.020818E-3	1.8790078E-6	31.311486E-3	49.051439E-6
-93.999995E-6	31.017734E-3	-47.545735E-6	30.947203E-3	70.336828E-6	31.135200E-3	50.583945E-6	31.179646E-3	-5.2368027E-6
-93.499999E-6	30.970605E-3	15.087943E-6	30.886067E-3	44.928951E-6	31.236414E-3	69.688998E-6	31.133328E-3	-57.535060E-6
-92.999995E-6	30.925950E-3	69.055997E-6	30.830888E-3	-17.798320E-6	31.280868E-3	18.555957E-6	31.126892E-3	-53.510095E-6
-92.499999E-6	30.826427E-3	50.959192E-6	30.891234E-3	-64.682623E-6	31.284891E-3	-52.712850E-6	31.076865E-3	6.0188795E-6
-91.999995E-6	30.677030E-3	-10.296181E-6	30.884616E-3	-57.285601E-6	31.223562E-3	-71.629744E-6	30.945608E-3	77.119075E-6
-91.499998E-6	30.659102E-3	-59.041056E-6	30.823553E-3	-9.2910168E-6	31.138107E-3	-10.752855E-6	30.888207E-3	37.197155E-6
-90.999994E-6	30.705493E-3	-60.647231E-6	30.737767E-3	61.545608E-6	31.043136E-3	50.268227E-6	30.899415E-3	-52.495321E-6
-90.499998E-6	30.874329E-3	-1.4397381E-6	30.581037E-3	93.288756E-6	31.000899E-3	47.784655E-6	30.933382E-3	-68.424262E-6
-90.000001E-6	30.999763E-3	29.928080E-6	30.524623E-3	10.806708E-6	30.982561E-3	22.779390E-6	30.970942E-3	-33.926128E-6
-89.499998E-6	31.060928E-3	68.357818E-6	30.507572E-3	-68.432353E-6	30.938426E-3	-59.167538E-6	31.049453E-3	46.933626E-6
-88.999994E-6	31.067405E-3	5.4075745E-6	30.617939E-3	-92.915019E-6	30.933229E-3	-68.612964E-6	31.074598E-3	73.731098E-6
-88.499997E-6	31.120857E-3	-43.843502E-6	30.727077E-3	-17.471253E-6	30.962341E-3	-20.660929E-6	31.146359E-3	-2.7370295E-6
-88.000001E-6	31.061161E-3	-112.01784E-6	30.858109E-3	57.257555E-6	30.926485E-3	34.318251E-6	31.228498E-3	-58.842619E-6
-87.499997E-6	31.124329E-3	-55.054166E-6	30.951496E-3	68.353846E-6	30.879151E-3	77.599259E-6	31.290479E-3	-86.614338E-6
-87.000000E-6	31.223029E-3	25.872358E-6	30.968003E-3	10.551314E-6	30.804541E-3	1.3406418E-6	31.216750E-3	3.4555592E-6
-86.499997E-6	31.296022E-3	62.873587E-6	30.975187E-3	-40.392824E-6	30.735079E-3	-49.094459E-6	31.213516E-3	63.910607E-6
-86.000000E-6	31.467143E-3	55.172699E-6	30.950502E-3	-69.277106E-6	30.590117E-3	-69.880225E-6	31.266596E-3	61.314662E-6
-85.499996E-6	31.474277E-3	-19.081252E-6	31.002194E-3	-39.750976E-6	30.508963E-3	-18.954841E-6	31.277720E-3	-34.399971E-6
-85.000000E-6	31.340301E-3	-76.647979E-6	30.999565E-3	29.010671E-6	30.531632E-3	63.125364E-6	31.304948E-3	-80.410362E-6
-84.499996E-6	31.232446E-3	-57.416713E-6	31.176917E-3	65.907159E-6	30.549895E-3	78.512123E-6	31.255241E-3	-52.626379E-6
-83.999999E-6	31.123571E-3	-18.446104E-6	31.275023E-3	27.087650E-6	30.674322E-3	13.051658E-6	31.254854E-3	28.760927E-6
-83.499996E-6	31.070851E-3	66.287314E-6	31.367522E-3	-29.549774E-6	30.772192E-3	-45.469886E-6	31.289991E-3	79.441728E-6
-82.999999E-6	31.053586E-3	72.106719E-6	31.411596E-3	-83.024221E-6	30.830448E-3	-71.223621E-6	31.297006E-3	36.276877E-6
-82.499995E-6	31.025345E-3	26.605365E-6	31.415034E-3	-32.359996E-6	30.864367E-3	4.2698734E-6	31.323757E-3	-51.692579E-6
