Experiment	Sweeper	
Saved Date	30.06.2023 13:56:52	
User		
Date		
Start time	30.06.2023 13:46:47	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	Input 1 [00002] (V)	Input 1 [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)
-116.40000E-3	3.6523445E-3	3.4888380E-3	3.4579101E-3	3.4843457E-3
-115.80001E-3	3.7971269E-3	3.6290621E-3	3.4670802E-3	3.6799365E-3
-115.20001E-3	3.9843712E-3	3.8023498E-3	3.5060595E-3	3.9463602E-3
-114.60000E-3	4.1332156E-3	3.8658420E-3	3.6092892E-3	4.3290891E-3
-114.00001E-3	4.3072193E-3	3.9279494E-3	3.8201485E-3	4.5559984E-3
-113.40000E-3	4.5942590E-3	4.0036035E-3	4.0141796E-3	4.5832521E-3
-112.80000E-3	4.8432373E-3	4.1389447E-3	4.2936229E-3	4.5284908E-3
-112.20001E-3	5.0120340E-3	4.2134416E-3	4.4866949E-3	4.6270969E-3
-111.60000E-3	5.1646498E-3	4.3475409E-3	4.6661561E-3	4.8436360E-3
-111.00000E-3	5.1317769E-3	4.5769005E-3	4.7948421E-3	4.9498295E-3
-110.40001E-3	5.2143647E-3	4.8494022E-3	4.9806070E-3	5.0869389E-3
-109.80000E-3	5.2277665E-3	5.1094028E-3	5.0923782E-3	5.0895661E-3
-109.20000E-3	5.3529665E-3	5.2863099E-3	5.2333991E-3	5.0679096E-3
-108.60001E-3	5.4365024E-3	5.5245282E-3	5.4056542E-3	5.0966968E-3
-108.00000E-3	5.6141787E-3	5.6899060E-3	5.6205252E-3	5.5379230E-3
-107.40000E-3	5.6273686E-3	5.8276318E-3	5.8079758E-3	5.8097974E-3
-106.80000E-3	5.7633165E-3	5.9557492E-3	6.0513020E-3	6.0475320E-3
-106.20000E-3	5.8741304E-3	6.0940264E-3	6.3241194E-3	6.2496834E-3
-105.60000E-3	5.8967993E-3	6.2595429E-3	6.5193432E-3	6.3509671E-3
-105.00000E-3	5.9120134E-3	6.4222049E-3	6.7405929E-3	6.5712323E-3
-104.40001E-3	6.0845367E-3	6.6061546E-3	6.8236752E-3	6.7401552E-3
-103.80000E-3	6.4679170E-3	6.7571625E-3	6.9048386E-3	6.9371685E-3
-103.20000E-3	6.7372182E-3	7.0127994E-3	6.9238213E-3	7.1928697E-3
-102.60001E-3	6.8487790E-3	7.2437925E-3	6.9884374E-3	7.3499586E-3
-102.00001E-3	7.1184332E-3	7.4665230E-3	7.1754684E-3	7.3755188E-3
-101.40000E-3	7.2602560E-3	7.6761940E-3	7.2740177E-3	7.4105016E-3
-100.80001E-3	7.4294959E-3	7.7797570E-3	7.4247401E-3	7.5418237E-3
-100.20000E-3	7.5945328E-3	7.8566335E-3	7.6114619E-3	7.6481993E-3
-99.600002E-3	7.7575413E-3	7.8810519E-3	7.7030589E-3	7.9711992E-3
-99.000007E-3	7.9163555E-3	7.9279449E-3	7.8871986E-3	7.9613812E-3
-98.400004E-3	8.1005637E-3	8.0188252E-3	7.9876240E-3	7.9611233E-3
-97.800002E-3	8.3253803E-3	8.1151668E-3	8.1186285E-3	7.9163769E-3
-97.200006E-3	8.5522495E-3	8.2351724E-3	8.1643760E-3	7.9205278E-3
-96.600004E-3	8.7608611E-3	8.3770175E-3	8.1627015E-3	8.1174057E-3
-96.000001E-3	8.9974739E-3	8.5700890E-3	8.1864195E-3	8.4180608E-3
-95.400006E-3	9.0715634E-3	8.6593861E-3	8.3351294E-3	8.6835874E-3
-94.800003E-3	9.0834433E-3	8.7991161E-3	8.5262777E-3	8.8450871E-3
-94.200000E-3	9.1096684E-3	8.9257099E-3	8.7591931E-3	9.0285921E-3
-93.600005E-3	9.1844955E-3	9.0124207E-3	8.9968201E-3	9.1965338E-3
-93.000002E-3	9.3058357E-3	9.0423385E-3	9.2297252E-3	9.4038835E-3
-92.399999E-3	9.4229085E-3	9.1097364E-3	9.4594900E-3	9.5845107E-3
-91.800004E-3	9.5688244E-3	9.2013041E-3	9.6199568E-3	9.9995071E-3
-91.200002E-3	9.7380504E-3	9.3843732E-3	9.7944699E-3	10.256195E-3
-90.599999E-3	9.8913712E-3	9.6655535E-3	9.9185286E-3	10.262648E-3
-90.000004E-3	10.020773E-3	9.9215014E-3	10.051645E-3	10.274787E-3
-89.400008E-3	10.044006E-3	10.214646E-3	10.224815E-3	10.386137E-3
-88.799998E-3	10.093428E-3	10.389368E-3	10.398259E-3	10.486535E-3
-88.200003E-3	10.155868E-3	10.555893E-3	10.629105E-3	10.603251E-3
-87.600008E-3	10.218061E-3	10.753076E-3	10.877889E-3	10.752452E-3
-87.000005E-3	10.360275E-3	10.864892E-3	11.156294E-3	10.803856E-3
-86.400002E-3	10.616669E-3	11.041811E-3	11.391136E-3	10.766843E-3
-85.800000E-3	10.819608E-3	11.239077E-3	11.542625E-3	10.728795E-3
-85.200004E-3	10.998672E-3	11.366300E-3	11.599242E-3	10.961442E-3
-84.600002E-3	11.206769E-3	11.557488E-3	11.616030E-3	11.323353E-3
-84.000006E-3	11.359117E-3	11.745503E-3	11.652667E-3	11.563156E-3
-83.400004E-3	11.489949E-3	11.992713E-3	11.758840E-3	11.698507E-3
-82.800001E-3	11.805874E-3	12.239597E-3	11.867069E-3	11.847979E-3
-82.200006E-3	11.934458E-3	12.461307E-3	12.075968E-3	12.013817E-3
-81.600003E-3	12.089104E-3	12.605964E-3	12.206998E-3	12.300939E-3
-81.000000E-3	12.266796E-3	12.700429E-3	12.326301E-3	12.645041E-3
-80.400005E-3	12.442212E-3	12.664287E-3	12.500088E-3	12.959895E-3
-79.800002E-3	12.763360E-3	12.750091E-3	12.575685E-3	13.050729E-3
-79.200000E-3	13.108962E-3	12.782595E-3	12.596054E-3	13.025033E-3
-78.600004E-3	13.348904E-3	12.927527E-3	12.618097E-3	13.090570E-3
-78.000002E-3	13.469143E-3	13.102869E-3	12.679075E-3	13.229502E-3
-77.399999E-3	13.495991E-3	13.197720E-3	12.773524E-3	13.349268E-3
-76.800004E-3	13.522212E-3	13.362494E-3	12.962125E-3	26.354015E-3
-76.200001E-3	13.622561E-3	13.525054E-3	13.228173E-3	30.726375E-3
-75.600006E-3	13.703099E-3	13.629999E-3	13.536258E-3	30.573642E-3
-75.000003E-3	13.796480E-3	13.780025E-3	13.712536E-3	30.360542E-3
-74.400000E-3	13.935084E-3	13.951379E-3	13.880785E-3	30.348770E-3
-73.800005E-3	14.212480E-3	14.019884E-3	14.100702E-3	30.529795E-3
-73.200002E-3	14.441439E-3	14.078580E-3	25.077902E-3	30.658904E-3
-72.600000E-3	14.604475E-3	14.145593E-3	30.592898E-3	30.631572E-3
-72.000004E-3	14.690022E-3	14.220210E-3	30.634571E-3	30.704912E-3
-71.400002E-3	14.754628E-3	14.336109E-3	30.646494E-3	30.719386E-3
-70.799999E-3	14.806871E-3	14.525576E-3	30.737899E-3	30.763762E-3
-70.200004E-3	14.863640E-3	14.739762E-3	30.863024E-3	30.893980E-3
-69.600001E-3	14.958146E-3	14.972031E-3	30.947817E-3	31.118112E-3
-69.000006E-3	15.236267E-3	15.214697E-3	31.020137E-3	31.166552E-3
-68.400003E-3	15.482821E-3	15.455500E-3	31.063385E-3	31.083673E-3
-67.800000E-3	15.767861E-3	15.708765E-3	31.006576E-3	30.914377E-3
-67.200005E-3	16.015695E-3	15.886717E-3	30.909695E-3	30.821661E-3
-66.600002E-3	16.254405E-3	16.033785E-3	30.801592E-3	30.780772E-3
-66.000000E-3	16.338002E-3	16.191715E-3	30.764088E-3	30.756751E-3
-65.400004E-3	16.505171E-3	16.412694E-3	30.731656E-3	30.767741E-3
-64.800002E-3	16.696602E-3	16.587920E-3	30.690257E-3	30.654904E-3
-64.199999E-3	16.853955E-3	16.726892E-3	30.621609E-3	30.459994E-3
-63.600004E-3	17.053390E-3	16.869349E-3	30.681262E-3	30.365298E-3
-63.000001E-3	17.233858E-3	17.045256E-3	30.685831E-3	30.395871E-3
-62.399998E-3	17.456409E-3	17.234216E-3	30.637329E-3	30.591734E-3
-61.800003E-3	17.687369E-3	17.510936E-3	30.490661E-3	30.683456E-3
-61.200000E-3	17.944051E-3	17.762970E-3	30.548654E-3	30.652579E-3
-60.600005E-3	18.182978E-3	18.003274E-3	30.579910E-3	30.712372E-3
-60.000002E-3	18.351993E-3	18.218169E-3	30.475441E-3	30.720448E-3
-59.400000E-3	18.463440E-3	18.344348E-3	30.380275E-3	30.748975E-3
-58.800004E-3	18.525289E-3	18.440796E-3	30.394940E-3	30.958770E-3
-58.200002E-3	18.554285E-3	18.517917E-3	30.439805E-3	31.120831E-3
-57.599999E-3	18.649044E-3	18.660678E-3	30.533627E-3	31.065343E-3
-57.000004E-3	23.259308E-3	18.743293E-3	30.604953E-3	30.906204E-3
-56.400001E-3	30.769102E-3	18.844005E-3	30.699002E-3	30.770475E-3
-55.799998E-3	30.786252E-3	18.983224E-3	30.661544E-3	30.762183E-3
-55.200003E-3	30.833777E-3	19.105053E-3	30.720362E-3	30.729787E-3
-54.600000E-3	30.770050E-3	19.280896E-3	30.735970E-3	30.700130E-3
-54.000005E-3	30.786412E-3	30.633805E-3	30.748164E-3	30.602794E-3
-53.400002E-3	30.740071E-3	30.652359E-3	30.762345E-3	30.402383E-3
-52.800000E-3	30.582765E-3	30.648563E-3	30.815497E-3	30.294010E-3
-52.200004E-3	30.484280E-3	30.640924E-3	30.886069E-3	30.390669E-3
-51.600002E-3	30.431608E-3	30.592842E-3	30.997127E-3	30.546376E-3
-50.999999E-3	30.408662E-3	30.612279E-3	31.174226E-3	30.636065E-3
-50.400004E-3	30.511100E-3	30.557849E-3	31.260334E-3	30.651337E-3
-49.800001E-3	30.618262E-3	30.508632E-3	31.198949E-3	30.609973E-3
-49.199998E-3	30.747840E-3	30.477487E-3	31.074157E-3	30.508460E-3
-48.600003E-3	30.830625E-3	30.387711E-3	30.946327E-3	30.655438E-3
-48.000000E-3	30.898478E-3	30.297756E-3	30.897077E-3	30.862590E-3
-47.399998E-3	30.930996E-3	30.270703E-3	30.886082E-3	30.965604E-3
-46.800002E-3	30.914651E-3	30.240044E-3	30.873286E-3	30.887775E-3
-46.200000E-3	30.933443E-3	30.282706E-3	30.858783E-3	30.735083E-3
-45.600004E-3	30.973634E-3	30.394906E-3	30.896502E-3	30.620750E-3
-45.000002E-3	30.960556E-3	30.507114E-3	30.827908E-3	30.611899E-3
-44.399999E-3	31.147078E-3	30.593060E-3	30.766493E-3	30.582549E-3
-43.800004E-3	31.266954E-3	30.610360E-3	30.626524E-3	30.563725E-3
-43.200001E-3	31.339746E-3	30.662896E-3	30.485176E-3	30.456403E-3
-42.599998E-3	31.428006E-3	30.708635E-3	30.373087E-3	30.298658E-3
-42.000003E-3	31.389304E-3	30.721914E-3	30.453134E-3	30.161783E-3
-41.400000E-3	31.269688E-3	30.703893E-3	30.599769E-3	30.166468E-3
-40.799998E-3	31.124385E-3	30.729735E-3	30.700959E-3	30.307155E-3
-40.200002E-3	31.033220E-3	30.620523E-3	30.753985E-3	30.456048E-3
-39.600000E-3	30.971559E-3	30.686045E-3	30.789779E-3	30.457145E-3
-38.999997E-3	30.958267E-3	30.724559E-3	30.820092E-3	30.477170E-3
-38.400002E-3	30.902704E-3	30.795144E-3	30.811347E-3	30.489484E-3
-37.799999E-3	30.923106E-3	30.872662E-3	30.815983E-3	30.551760E-3
-37.200004E-3	30.883102E-3	30.973285E-3	30.913115E-3	30.675676E-3
-36.600001E-3	30.859010E-3	31.064687E-3	31.027485E-3	30.891918E-3
-35.999998E-3	30.827912E-3	31.041797E-3	31.187883E-3	30.965967E-3
-35.400003E-3	30.711532E-3	30.995324E-3	31.372767E-3	30.904328E-3
-34.800000E-3	30.560415E-3	30.876104E-3	31.514436E-3	30.708382E-3
-34.199998E-3	30.529648E-3	30.764613E-3	31.400412E-3	30.633723E-3
-33.600003E-3	30.611644E-3	30.680649E-3	31.332370E-3	30.598952E-3
-33.000000E-3	30.718919E-3	30.653775E-3	31.217553E-3	30.606369E-3
-32.399997E-3	30.850545E-3	30.610047E-3	31.150499E-3	30.567143E-3
-31.800002E-3	30.948346E-3	30.649927E-3	31.100728E-3	30.476918E-3
-31.199999E-3	31.025544E-3	30.615035E-3	31.108506E-3	30.286087E-3
-30.600004E-3	31.034267E-3	30.583199E-3	31.058233E-3	30.144554E-3
-30.000001E-3	31.073961E-3	30.574989E-3	31.078652E-3	30.140901E-3
-29.399998E-3	31.038262E-3	30.539090E-3	31.085210E-3	30.255761E-3
-28.800003E-3	31.100847E-3	30.541293E-3	31.080224E-3	30.370614E-3
-28.200001E-3	31.149866E-3	30.416617E-3	31.064551E-3	30.457854E-3
-27.599998E-3	31.250745E-3	30.327037E-3	30.959617E-3	30.465027E-3
-27.000003E-3	31.287152E-3	30.259689E-3	30.883500E-3	30.523069E-3
-26.400000E-3	31.424440E-3	30.272072E-3	30.741453E-3	30.532204E-3
-25.799997E-3	31.437404E-3	30.353185E-3	30.630428E-3	30.594209E-3
-25.200002E-3	31.384137E-3	30.499389E-3	30.630656E-3	30.742368E-3
-24.599999E-3	31.223735E-3	30.536996E-3	30.598704E-3	30.921457E-3
-24.000004E-3	31.132784E-3	30.634142E-3	30.780114E-3	30.929975E-3
-23.399994E-3	31.049911E-3	30.681500E-3	30.858416E-3	30.846341E-3
-22.799999E-3	30.961677E-3	30.676525E-3	30.945180E-3	30.709209E-3
-22.200003E-3	30.957213E-3	30.718077E-3	30.966170E-3	30.635726E-3
-21.599993E-3	30.957792E-3	30.618051E-3	30.989936E-3	30.624913E-3
-20.999998E-3	30.932017E-3	30.604536E-3	30.975809E-3	30.610800E-3
-20.400003E-3	30.942844E-3	30.600626E-3	31.017007E-3	30.578950E-3
-19.799992E-3	30.916203E-3	30.620398E-3	30.997610E-3	30.528296E-3
-19.199997E-3	30.846989E-3	30.676125E-3	30.986806E-3	30.413384E-3
-18.600002E-3	30.759264E-3	30.883566E-3	30.994248E-3	30.264750E-3
-18.000007E-3	30.630849E-3	30.980200E-3	31.051390E-3	30.115606E-3
-17.399997E-3	30.584402E-3	31.030294E-3	31.154621E-3	30.164709E-3
-16.800001E-3	30.590074E-3	31.026669E-3	31.267606E-3	30.321360E-3
-16.200006E-3	30.697417E-3	30.978240E-3	31.377610E-3	30.463843E-3
-15.599996E-3	30.816812E-3	30.885823E-3	31.375129E-3	30.463435E-3
-15.000001E-3	30.967638E-3	30.797647E-3	31.329725E-3	30.469658E-3
-14.400005E-3	31.048728E-3	30.678362E-3	31.255174E-3	30.550273E-3
-13.799995E-3	31.096753E-3	30.669507E-3	31.149559E-3	30.582689E-3
-13.200000E-3	31.150838E-3	30.605001E-3	31.071927E-3	30.685214E-3
-12.600005E-3	31.077584E-3	30.603100E-3	31.047260E-3	30.821944E-3
-11.999995E-3	31.109830E-3	30.563967E-3	31.038413E-3	31.000361E-3
-11.399999E-3	31.145176E-3	30.569376E-3	31.059999E-3	31.015156E-3
-10.800004E-3	31.161327E-3	30.528443E-3	31.028982E-3	30.901572E-3
-10.199994E-3	31.219579E-3	30.543888E-3	31.000243E-3	30.775866E-3
-9.5999986E-3	31.316936E-3	30.494852E-3	30.947428E-3	30.686971E-3
-9.0000033E-3	31.419631E-3	30.495631E-3	30.918077E-3	30.664381E-3
-8.3999932E-3	31.427149E-3	30.469237E-3	30.846102E-3	30.673100E-3
-7.7999979E-3	31.422760E-3	30.400932E-3	30.756453E-3	30.642584E-3
-7.2000027E-3	31.293880E-3	30.263307E-3	30.599242E-3	30.541286E-3
-6.5999925E-3	31.220172E-3	30.193558E-3	30.513857E-3	30.426122E-3
-5.9999973E-3	31.148899E-3	30.125199E-3	30.583706E-3	30.295338E-3
-5.4000020E-3	31.062905E-3	30.187374E-3	30.605163E-3	30.176112E-3
-4.7999918E-3	31.001672E-3	30.278791E-3	30.739782E-3	30.228930E-3
-4.1999966E-3	30.961676E-3	30.407131E-3	30.845257E-3	30.416690E-3
-3.6000013E-3	30.969912E-3	30.490439E-3	30.875210E-3	30.498814E-3
-3.0000061E-3	30.977599E-3	30.537792E-3	30.918710E-3	30.540735E-3
-2.3999959E-3	30.965753E-3	30.613704E-3	30.940311E-3	30.584704E-3
-1.8000007E-3	30.929521E-3	30.655017E-3	30.912092E-3	30.571721E-3
