Experiment	Sweeper	
Saved Date	30.06.2023 13:56:52	
User		
Date		
Start time	30.06.2023 13:46:47	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	Input 1 [00002] (V)	Input 1 [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)
22.799999E-3	30.970244E-3	31.136384E-3	31.081839E-3	30.652313E-3
23.400009E-3	30.909831E-3	31.243159E-3	31.049887E-3	30.653004E-3
24.000004E-3	30.904220E-3	31.139014E-3	31.031508E-3	30.661685E-3
24.599999E-3	30.816836E-3	31.191219E-3	31.045211E-3	30.629808E-3
25.200009E-3	30.744825E-3	31.180523E-3	31.041082E-3	30.645104E-3
25.800005E-3	30.680116E-3	31.090707E-3	31.024370E-3	30.736884E-3
26.400000E-3	30.646278E-3	30.992011E-3	30.941248E-3	30.806933E-3
26.999995E-3	30.546170E-3	30.902777E-3	30.865774E-3	30.922338E-3
27.600005E-3	30.558240E-3	30.790769E-3	30.769844E-3	31.044541E-3
28.200001E-3	30.663930E-3	30.752063E-3	30.658551E-3	31.120516E-3
28.799996E-3	30.709332E-3	30.685997E-3	30.578751E-3	31.084703E-3
29.400006E-3	30.847140E-3	30.690107E-3	30.540580E-3	30.933123E-3
30.000001E-3	30.961957E-3	30.688388E-3	30.583626E-3	30.876620E-3
30.599996E-3	31.014055E-3	30.674528E-3	30.674268E-3	30.812752E-3
31.200007E-3	31.048931E-3	30.673066E-3	30.815136E-3	30.817110E-3
31.800002E-3	31.068701E-3	30.732263E-3	30.867923E-3	30.751664E-3
32.399997E-3	31.084618E-3	30.719077E-3	30.891323E-3	30.716503E-3
33.000007E-3	31.076087E-3	30.671064E-3	30.903177E-3	30.736046E-3
33.600003E-3	31.050229E-3	30.671071E-3	30.924501E-3	30.697355E-3
34.199998E-3	31.092592E-3	30.573448E-3	30.915232E-3	30.616950E-3
34.800008E-3	31.081611E-3	30.494489E-3	30.924147E-3	30.425021E-3
35.400003E-3	31.127024E-3	30.441755E-3	30.934324E-3	30.294616E-3
35.999998E-3	31.137999E-3	30.352497E-3	30.976288E-3	30.291021E-3
36.600009E-3	31.235393E-3	30.333145E-3	31.025182E-3	30.410508E-3
37.200004E-3	31.301375E-3	30.307710E-3	31.159882E-3	30.529773E-3
37.799999E-3	31.354215E-3	30.279720E-3	31.314835E-3	30.622615E-3
38.400009E-3	31.369276E-3	30.341059E-3	31.444870E-3	30.639283E-3
39.000005E-3	31.293627E-3	30.393049E-3	31.416275E-3	30.646129E-3
39.600000E-3	31.176778E-3	30.477121E-3	31.316556E-3	30.665448E-3
40.200010E-3	31.099118E-3	30.528340E-3	31.217422E-3	30.657893E-3
40.800005E-3	31.031579E-3	30.598851E-3	31.106515E-3	30.707378E-3
41.400000E-3	30.948604E-3	30.655889E-3	31.108020E-3	30.774124E-3
41.999996E-3	30.911056E-3	30.668121E-3	31.083887E-3	30.879097E-3
42.600006E-3	30.937241E-3	30.719012E-3	31.047408E-3	31.040076E-3
43.200001E-3	30.984471E-3	30.710362E-3	31.085959E-3	31.120257E-3
43.799996E-3	31.030862E-3	30.758729E-3	31.098958E-3	31.119246E-3
44.400007E-3	31.034946E-3	30.798547E-3	31.094730E-3	30.991629E-3
45.000002E-3	30.915424E-3	30.821119E-3	31.041378E-3	30.860150E-3
45.599997E-3	30.862683E-3	30.805048E-3	30.939700E-3	30.817911E-3
46.200007E-3	30.785339E-3	30.773256E-3	30.793920E-3	30.720575E-3
46.800002E-3	30.683732E-3	30.745760E-3	30.677065E-3	30.696785E-3
47.399998E-3	30.619219E-3	30.766992E-3	30.673882E-3	30.764276E-3
48.000008E-3	30.576922E-3	30.823886E-3	30.723857E-3	30.769018E-3
48.600003E-3	30.663254E-3	30.909037E-3	30.694719E-3	30.744415E-3
49.199998E-3	30.753227E-3	30.958455E-3	30.715266E-3	30.664844E-3
49.800009E-3	30.939201E-3	31.104105E-3	30.751288E-3	30.543471E-3
50.400004E-3	30.997861E-3	31.094905E-3	30.754361E-3	30.417312E-3
50.999999E-3	31.003261E-3	31.062802E-3	30.787271E-3	30.333010E-3
51.600009E-3	31.034632E-3	30.975102E-3	30.789031E-3	30.380413E-3
52.200004E-3	31.083995E-3	30.940261E-3	30.791182E-3	30.490493E-3
52.800000E-3	31.100022E-3	30.759739E-3	30.769700E-3	30.597307E-3
53.400010E-3	31.090869E-3	30.690385E-3	30.809116E-3	30.616954E-3
54.000005E-3	31.097153E-3	30.642565E-3	30.831285E-3	30.650087E-3
54.600000E-3	31.084578E-3	30.597843E-3	30.878291E-3	30.663403E-3
55.200011E-3	31.089200E-3	30.546660E-3	30.953396E-3	30.681394E-3
55.800006E-3	31.171354E-3	30.523146E-3	31.026097E-3	30.668465E-3
56.400001E-3	31.295184E-3	30.553818E-3	31.099798E-3	30.716479E-3
57.000011E-3	31.350151E-3	30.558810E-3	31.184291E-3	30.807307E-3
57.600006E-3	31.406805E-3	30.526854E-3	31.231077E-3	41.789629E-3
58.200002E-3	31.389631E-3	30.496394E-3	42.323638E-3	42.052269E-3
58.799997E-3	31.262606E-3	30.492976E-3	42.457078E-3	42.336173E-3
59.400007E-3	31.150276E-3	30.461695E-3	42.607583E-3	42.525671E-3
60.000002E-3	31.034710E-3	30.399483E-3	42.638961E-3	42.649914E-3
60.599998E-3	30.982682E-3	30.341964E-3	42.782664E-3	42.692605E-3
61.200008E-3	30.950055E-3	30.304374E-3	42.909354E-3	42.778127E-3
61.800003E-3	30.879293E-3	30.233512E-3	43.027267E-3	42.928323E-3
62.399998E-3	30.848844E-3	30.219637E-3	43.234915E-3	43.090470E-3
63.000008E-3	30.892191E-3	30.334504E-3	43.372277E-3	43.235343E-3
63.600004E-3	30.863365E-3	30.391788E-3	43.709580E-3	43.390717E-3
64.199999E-3	30.864071E-3	30.519398E-3	43.856356E-3	43.537743E-3
64.800009E-3	30.858597E-3	30.646157E-3	44.009428E-3	43.655831E-3
65.400004E-3	30.815989E-3	30.665450E-3	44.135720E-3	43.715551E-3
66.000000E-3	30.717496E-3	30.701656E-3	44.268150E-3	43.795984E-3
66.600010E-3	30.661428E-3	30.736789E-3	44.404544E-3	43.860506E-3
67.200005E-3	30.510440E-3	30.697592E-3	44.523384E-3	43.927506E-3
67.800000E-3	30.490335E-3	30.709380E-3	44.622522E-3	44.096228E-3
68.400010E-3	30.514294E-3	30.724715E-3	44.692032E-3	44.355255E-3
69.000006E-3	30.607022E-3	30.749757E-3	44.831529E-3	44.614639E-3
69.600001E-3	30.712040E-3	30.780489E-3	44.855159E-3	44.904612E-3
70.200011E-3	30.839624E-3	30.730929E-3	44.930600E-3	45.072224E-3
70.800006E-3	30.881057E-3	30.773563E-3	45.174502E-3	45.266218E-3
71.400002E-3	30.957822E-3	30.802647E-3	45.392703E-3	45.444310E-3
72.000012E-3	30.988595E-3	30.917611E-3	45.636915E-3	45.575429E-3
72.600007E-3	30.972004E-3	30.977536E-3	45.889363E-3	45.764145E-3
73.200002E-3	30.985527E-3	31.030834E-3	46.099816E-3	45.941364E-3
73.799998E-3	30.957641E-3	31.035874E-3	46.269935E-3	46.238586E-3
74.400008E-3	30.988194E-3	31.047594E-3	46.434037E-3	46.494268E-3
75.000003E-3	30.994590E-3	30.980444E-3	46.613924E-3	46.810806E-3
75.599998E-3	31.008886E-3	30.910941E-3	46.742260E-3	46.989314E-3
76.200008E-3	31.056795E-3	30.829038E-3	46.889063E-3	46.953835E-3
76.800004E-3	31.117348E-3	30.733729E-3	46.960134E-3	46.972837E-3
77.399999E-3	31.223219E-3	30.657075E-3	47.132835E-3	47.055781E-3
78.000009E-3	31.341258E-3	30.688342E-3	47.432847E-3	47.190242E-3
78.600004E-3	31.350851E-3	30.646123E-3	47.597677E-3	47.332417E-3
79.200000E-3	31.327046E-3	30.638155E-3	47.848448E-3	47.510006E-3
79.800010E-3	31.292900E-3	30.507121E-3	48.148442E-3	47.631629E-3
80.400005E-3	31.192224E-3	30.520201E-3	48.360076E-3	47.757078E-3
81.000000E-3	31.075232E-3	30.459721E-3	48.549321E-3	47.782112E-3
81.600010E-3	31.031117E-3	30.443110E-3	48.765916E-3	47.722336E-3
82.200006E-3	30.963579E-3	30.432716E-3	48.894539E-3	47.754977E-3
82.800001E-3	30.937703E-3	41.354425E-3	48.996408E-3	47.884792E-3
83.400011E-3	30.914104E-3	48.296839E-3	49.033597E-3	48.109975E-3
84.000006E-3	30.917473E-3	48.398435E-3	49.156688E-3	48.429087E-3
84.600002E-3	30.922413E-3	48.499294E-3	49.240075E-3	48.673257E-3
85.200012E-3	42.009786E-3	48.549578E-3	49.323589E-3	48.851550E-3
85.800007E-3	49.295481E-3	48.705153E-3	49.493395E-3	49.028169E-3
86.400002E-3	49.406391E-3	48.876174E-3	49.666543E-3	49.157213E-3
87.000012E-3	49.560223E-3	49.034901E-3	49.776640E-3	49.314436E-3
87.600008E-3	49.686521E-3	49.236864E-3	49.953382E-3	49.525291E-3
88.200003E-3	49.791705E-3	49.521092E-3	50.154608E-3	49.725540E-3
88.799998E-3	49.822442E-3	49.687386E-3	50.240520E-3	49.994398E-3
89.400008E-3	49.900576E-3	49.935609E-3	50.364457E-3	50.287552E-3
90.000004E-3	49.955245E-3	50.149702E-3	50.484437E-3	50.536405E-3
90.599999E-3	50.131906E-3	50.270975E-3	50.620340E-3	50.724167E-3
91.200009E-3	50.290097E-3	50.455444E-3	50.715894E-3	50.814237E-3
91.800004E-3	50.600223E-3	50.611302E-3	50.798655E-3	50.892778E-3
92.399999E-3	50.839294E-3	50.789949E-3	50.874222E-3	50.899763E-3
93.000010E-3	51.061153E-3	50.946526E-3	50.951991E-3	50.969481E-3
93.600005E-3	51.198028E-3	51.089510E-3	51.003519E-3	51.104903E-3
94.200000E-3	51.445305E-3	51.279876E-3	51.089957E-3	51.243231E-3
94.800010E-3	51.593710E-3	51.398721E-3	51.221572E-3	51.400609E-3
95.400006E-3	51.787443E-3	51.638085E-3	51.385727E-3	51.535606E-3
96.000001E-3	51.862374E-3	51.921990E-3	51.622678E-3	51.695686E-3
96.600011E-3	51.990207E-3	52.083679E-3	51.831778E-3	51.810715E-3
97.200006E-3	52.126527E-3	52.222628E-3	52.020371E-3	51.900350E-3
97.800002E-3	52.315854E-3	52.265149E-3	52.265421E-3	51.946077E-3
98.400012E-3	52.449189E-3	52.323487E-3	52.419599E-3	51.955406E-3
99.000007E-3	52.635632E-3	52.351702E-3	52.605182E-3	52.003883E-3
99.600002E-3	52.748125E-3	52.427951E-3	52.709896E-3	52.155286E-3
100.20000E-3	52.915629E-3	52.545991E-3	52.843578E-3	52.343890E-3
100.80001E-3	53.132594E-3	52.710503E-3	52.977737E-3	52.603304E-3
101.40002E-3	53.343680E-3	52.903663E-3	53.116340E-3	52.813586E-3
102.00000E-3	53.531803E-3	53.041883E-3	53.245962E-3	53.069867E-3
102.60001E-3	53.777739E-3	53.078622E-3	53.447757E-3	53.270839E-3
103.20002E-3	53.960029E-3	53.283598E-3	53.600911E-3	53.386815E-3
103.80000E-3	54.114331E-3	53.467233E-3	53.774476E-3	53.569198E-3
104.40001E-3	54.147322E-3	53.631801E-3	53.976975E-3	53.700317E-3
105.00002E-3	54.159842E-3	53.606547E-3	54.206453E-3	53.856436E-3
105.60000E-3	54.183625E-3	53.653177E-3	54.443084E-3	54.051090E-3
106.20001E-3	54.306827E-3	53.791218E-3	54.678489E-3	54.217122E-3
106.80002E-3	54.439798E-3	53.984277E-3	54.899286E-3	54.494843E-3
107.40000E-3	54.523032E-3	54.232489E-3	55.082798E-3	54.770663E-3
108.00001E-3	54.671511E-3	54.560170E-3	55.162810E-3	55.002157E-3
108.60002E-3	54.812614E-3	54.791141E-3	55.264119E-3	55.135775E-3
109.20000E-3	54.972652E-3	54.976873E-3	55.345520E-3	55.211358E-3
109.80001E-3	55.164725E-3	55.128023E-3	55.337805E-3	55.242624E-3
110.40002E-3	55.219810E-3	55.295467E-3	55.495676E-3	55.266775E-3
111.00000E-3	55.373859E-3	55.384174E-3	55.588972E-3	55.419341E-3
111.60001E-3	55.368781E-3	55.614367E-3	55.762496E-3	55.513460E-3
112.19999E-3	55.455316E-3	55.779949E-3	55.851556E-3	55.698320E-3
112.80000E-3	55.533685E-3	55.933733E-3	55.952389E-3	55.855177E-3
113.40001E-3	55.675618E-3	56.182161E-3	56.145892E-3	55.972658E-3
113.99999E-3	55.875365E-3	56.420092E-3	56.297597E-3	56.011930E-3
114.60000E-3	56.129575E-3	56.661725E-3	56.425337E-3	56.027126E-3
115.20001E-3	56.198239E-3	56.854658E-3	56.502435E-3	56.060981E-3
115.79999E-3	56.583416E-3	57.006113E-3	56.611042E-3	56.115974E-3
116.40000E-3	56.782544E-3	57.044029E-3	56.721307E-3	56.291185E-3
117.00001E-3	56.952395E-3	57.059620E-3	56.851286E-3	56.548893E-3
117.59999E-3	57.146389E-3	57.055190E-3	56.850024E-3	56.791935E-3
118.20000E-3	57.308793E-3	57.175845E-3	56.915436E-3	57.045314E-3
118.80001E-3	57.428591E-3	57.288110E-3	56.966636E-3	57.190929E-3
119.39999E-3	57.561170E-3	57.389803E-3	57.096940E-3	57.347286E-3
120.00000E-3	57.715055E-3	57.530079E-3	57.312902E-3	57.510067E-3
120.60001E-3	57.872321E-3	57.670832E-3	57.571098E-3	57.677336E-3
121.20000E-3	58.023587E-3	57.811931E-3	57.773229E-3	57.875820E-3
121.80001E-3	58.244254E-3	57.913914E-3	58.020562E-3	58.053222E-3
122.40002E-3	58.460373E-3	58.044400E-3	58.222629E-3	58.346294E-3
123.00000E-3	58.667116E-3	58.004931E-3	58.388025E-3	58.632541E-3
123.60001E-3	58.854185E-3	57.946548E-3	58.550946E-3	58.826834E-3
124.20002E-3	59.092302E-3	58.150426E-3	58.723878E-3	58.926057E-3
124.80000E-3	59.312042E-3	58.407273E-3	58.857236E-3	59.010923E-3
125.40001E-3	59.466660E-3	58.761507E-3	58.961861E-3	59.056539E-3
126.00002E-3	59.574485E-3	59.062373E-3	59.166469E-3	59.122764E-3
126.60000E-3	59.676066E-3	59.298560E-3	59.297111E-3	59.301831E-3
127.20001E-3	59.747394E-3	59.405457E-3	59.491515E-3	59.423767E-3
127.80002E-3	59.816089E-3	59.608590E-3	59.691537E-3	59.578784E-3
128.40000E-3	59.894793E-3	59.712611E-3	59.883498E-3	59.671819E-3
129.00001E-3	60.002852E-3	59.852324E-3	60.188137E-3	59.797391E-3
129.60002E-3	60.068537E-3	60.040116E-3	60.408205E-3	59.804820E-3
130.20000E-3	60.130846E-3	60.239121E-3	60.666982E-3	59.831765E-3
130.80001E-3	60.315434E-3	60.531784E-3	60.745031E-3	59.850790E-3
131.40002E-3	60.434200E-3	60.754471E-3	60.852803E-3	59.967175E-3
132.00000E-3	60.591612E-3	60.982537E-3	60.897689E-3	60.252137E-3
132.60001E-3	60.741227E-3	61.051186E-3	60.977098E-3	60.504716E-3
133.20002E-3	60.884904E-3	61.042607E-3	61.086036E-3	60.721997E-3
133.80000E-3	61.008826E-3	61.061036E-3	61.201543E-3	60.925018E-3
134.40001E-3	61.126687E-3	61.098468E-3	61.286286E-3	61.089493E-3
135.00002E-3	61.262190E-3	61.240420E-3	61.449531E-3	61.227567E-3
135.60000E-3	61.411686E-3	61.331712E-3	61.508361E-3	61.347362E-3
136.20001E-3	61.467424E-3	61.362188E-3	61.643746E-3	61.533503E-3
136.80002E-3	61.615352E-3	61.516840E-3	61.801150E-3	61.754711E-3
137.40000E-3	61.692841E-3	61.680816E-3	61.886594E-3	62.007088E-3
138.00001E-3	61.761219E-3	61.742306E-3	61.983943E-3	62.321559E-3
138.60002E-3	61.831187E-3	61.918579E-3	62.007174E-3	62.517256E-3
139.20000E-3	61.944287E-3	61.941400E-3	62.080324E-3	62.665410E-3
139.80001E-3	62.087245E-3	62.062845E-3	62.147107E-3	62.725954E-3
140.40002E-3	62.252551E-3	62.299121E-3	62.214248E-3	62.752061E-3
141.00000E-3	62.480696E-3	62.595978E-3	62.389791E-3	62.826142E-3
141.60001E-3	62.695555E-3	62.889449E-3	62.606037E-3	62.975496E-3
142.19999E-3	62.960289E-3	63.092768E-3	62.832698E-3	63.102238E-3
142.80000E-3	63.177072E-3	63.277222E-3	63.076943E-3	63.227773E-3
143.40001E-3	63.380398E-3	63.480988E-3	63.259974E-3	63.378841E-3
143.99999E-3	63.718356E-3	63.589647E-3	63.405044E-3	63.482583E-3
144.60000E-3	63.839197E-3	63.739702E-3	63.563623E-3	63.587107E-3
145.20001E-3	64.028040E-3	63.930109E-3	63.723199E-3	63.570015E-3
145.79999E-3	64.220257E-3	64.135186E-3	63.882723E-3	63.595988E-3
146.40000E-3	64.293616E-3	64.355575E-3	64.057365E-3	63.678496E-3
147.00001E-3	64.485721E-3	64.623259E-3	64.189002E-3	63.837573E-3
147.60000E-3	64.628385E-3	64.803340E-3	64.354338E-3	64.084962E-3
148.20001E-3	64.793646E-3	64.919375E-3	64.888477E-3	64.386792E-3
148.80002E-3	64.979084E-3	64.939380E-3	65.108426E-3	64.585499E-3
149.40000E-3	65.203972E-3	64.925268E-3	65.375634E-3	64.759463E-3
150.00001E-3	65.413795E-3	64.991079E-3	65.594368E-3	64.921059E-3
