Experiment	Sweeper	
Saved Date	30.06.2023 14:07:13	
User		
Date		
Start time	30.06.2023 14:06:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-111.00000E-3	4.9439440E-3	882.79124E-6	0.0000000E+0	NaN
-110.40001E-3	5.1079206E-3	884.83235E-6	0.0000000E+0	NaN
-109.80000E-3	5.2424967E-3	821.01481E-6	0.0000000E+0	NaN
-109.20000E-3	5.3895186E-3	737.68577E-6	0.0000000E+0	NaN
-108.60001E-3	5.5939052E-3	767.58221E-6	0.0000000E+0	NaN
-108.00000E-3	5.7904208E-3	810.70373E-6	0.0000000E+0	NaN
-107.40000E-3	5.9342566E-3	877.85831E-6	0.0000000E+0	NaN
-106.80000E-3	6.1609866E-3	856.13475E-6	0.0000000E+0	NaN
-106.20000E-3	6.4052423E-3	783.01330E-6	0.0000000E+0	NaN
-105.60000E-3	6.6424790E-3	723.99288E-6	0.0000000E+0	NaN
-105.00000E-3	6.8211355E-3	753.67186E-6	0.0000000E+0	NaN
-104.40001E-3	6.8992041E-3	835.96038E-6	0.0000000E+0	NaN
-103.80000E-3	6.9262800E-3	874.43693E-6	0.0000000E+0	NaN
-103.20000E-3	6.9586546E-3	832.60849E-6	0.0000000E+0	NaN
-102.60001E-3	6.9960165E-3	770.12915E-6	0.0000000E+0	NaN
-102.00001E-3	7.0902631E-3	731.25924E-6	0.0000000E+0	NaN
-101.40000E-3	7.2632949E-3	782.55305E-6	0.0000000E+0	NaN
-100.80001E-3	7.3983464E-3	846.26593E-6	0.0000000E+0	NaN
-100.20000E-3	7.5414968E-3	882.33151E-6	0.0000000E+0	NaN
-99.600002E-3	7.7101113E-3	845.65644E-6	0.0000000E+0	NaN
-99.000007E-3	7.7732657E-3	761.64672E-6	0.0000000E+0	NaN
-98.400004E-3	7.9300506E-3	721.56457E-6	0.0000000E+0	NaN
-97.800002E-3	7.9247048E-3	805.78163E-6	0.0000000E+0	NaN
-97.200006E-3	8.0333687E-3	873.32597E-6	0.0000000E+0	NaN
-96.600004E-3	8.0865165E-3	885.46862E-6	0.0000000E+0	NaN
-96.000001E-3	8.2089566E-3	820.20287E-6	0.0000000E+0	NaN
-95.400006E-3	8.3781779E-3	753.18548E-6	0.0000000E+0	NaN
-94.800003E-3	8.5092867E-3	749.69273E-6	0.0000000E+0	NaN
-94.200000E-3	8.6817555E-3	817.43026E-6	0.0000000E+0	NaN
-93.600005E-3	8.8472217E-3	885.28707E-6	0.0000000E+0	NaN
-93.000002E-3	9.1336193E-3	882.26586E-6	0.0000000E+0	NaN
-92.399999E-3	9.3988795E-3	819.48709E-6	0.0000000E+0	NaN
-91.800004E-3	9.6398015E-3	765.72748E-6	0.0000000E+0	NaN
-91.200002E-3	9.7943479E-3	771.04912E-6	0.0000000E+0	NaN
-90.599999E-3	9.9960929E-3	844.71540E-6	0.0000000E+0	NaN
-90.000004E-3	10.156320E-3	870.87421E-6	0.0000000E+0	NaN
-89.400008E-3	10.357580E-3	873.07236E-6	0.0000000E+0	NaN
-88.799998E-3	10.514881E-3	801.12950E-6	0.0000000E+0	NaN
-88.200003E-3	10.655376E-3	749.12090E-6	0.0000000E+0	NaN
-87.600008E-3	10.822263E-3	767.78559E-6	0.0000000E+0	NaN
-87.000005E-3	11.051600E-3	858.66539E-6	0.0000000E+0	NaN
-86.400002E-3	11.383370E-3	891.57547E-6	0.0000000E+0	NaN
-85.800000E-3	11.543763E-3	870.39091E-6	0.0000000E+0	NaN
-85.200004E-3	11.869388E-3	795.01758E-6	0.0000000E+0	NaN
-84.600002E-3	11.969958E-3	766.10775E-6	0.0000000E+0	NaN
-84.000006E-3	12.052677E-3	807.10067E-6	0.0000000E+0	NaN
-83.400004E-3	12.088199E-3	846.02449E-6	0.0000000E+0	NaN
-82.800001E-3	12.141944E-3	899.88578E-6	0.0000000E+0	NaN
-82.200006E-3	12.232129E-3	875.20119E-6	0.0000000E+0	NaN
-81.600003E-3	12.391583E-3	811.94658E-6	0.0000000E+0	NaN
-81.000000E-3	12.514596E-3	762.45371E-6	0.0000000E+0	NaN
-80.400005E-3	12.658264E-3	781.79705E-6	0.0000000E+0	NaN
-79.800002E-3	12.796712E-3	863.49814E-6	0.0000000E+0	NaN
-79.200000E-3	13.051442E-3	884.37647E-6	0.0000000E+0	NaN
-78.600004E-3	13.161745E-3	855.59313E-6	0.0000000E+0	NaN
-78.000002E-3	13.083267E-3	778.31751E-6	0.0000000E+0	NaN
-77.399999E-3	13.178624E-3	768.35160E-6	0.0000000E+0	NaN
-76.800004E-3	13.188684E-3	810.47817E-6	0.0000000E+0	NaN
-76.200001E-3	13.250905E-3	891.09904E-6	0.0000000E+0	NaN
-75.600006E-3	13.366865E-3	898.82780E-6	0.0000000E+0	NaN
-75.000003E-3	13.626992E-3	871.61583E-6	0.0000000E+0	NaN
-74.400000E-3	13.867801E-3	818.23830E-6	0.0000000E+0	NaN
