Experiment	Sweeper	
Saved Date	30.06.2023 20:11:28	
User		
Date		
Start time	30.06.2023 19:59:23	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-39.499999E-6	30.827101E-3	42.648284E-6	30.329507E-3	78.904879E-6	30.189941E-3	1.8045733E-6	31.191766E-3	-43.285749E-6
-37.666665E-6	30.860834E-3	69.685913E-6	30.380512E-3	-9.7578213E-6	30.153496E-3	-96.212796E-6	31.261612E-3	-75.584627E-6
-35.833335E-6	30.937003E-3	-29.427320E-6	30.374926E-3	-99.532183E-6	30.205347E-3	-23.808019E-6	31.375200E-3	15.667310E-6
-33.999997E-6	31.080147E-3	-76.734614E-6	30.491820E-3	-5.2930022E-6	30.212600E-3	83.109335E-6	31.484414E-3	78.936326E-6
-32.166667E-6	31.167656E-3	-1.6913039E-6	30.565457E-3	61.608414E-6	30.200373E-3	60.889015E-6	31.575385E-3	-33.367462E-6
-30.333336E-6	31.278752E-3	62.125124E-6	30.621432E-3	19.877305E-6	30.178327E-3	-21.722768E-6	31.635612E-3	-84.252955E-6
-28.499999E-6	31.270057E-3	-2.0987054E-6	30.703386E-3	-63.464147E-6	30.159812E-3	-64.784428E-6	31.666808E-3	-7.1284467E-6
-26.666668E-6	31.156920E-3	-89.582281E-6	30.752338E-3	-82.236584E-6	30.126764E-3	26.950214E-6	31.669896E-3	88.531327E-6
-24.833331E-6	31.067804E-3	-53.394237E-6	30.713022E-3	521.14467E-9	30.115314E-3	78.493438E-6	31.668369E-3	-4.1213680E-6
-23.000001E-6	31.033274E-3	38.222875E-6	30.710539E-3	54.389326E-6	30.116582E-3	20.637093E-6	31.668060E-3	-68.043031E-6
-21.166670E-6	30.951319E-3	48.888240E-6	30.699048E-3	-2.7069609E-6	30.073548E-3	-61.726168E-6	31.492069E-3	-22.742270E-6
-19.333333E-6	30.910773E-3	-52.684652E-6	30.666646E-3	-50.257764E-6	30.010140E-3	-63.089115E-6	31.485580E-3	70.368558E-6
-17.500002E-6	30.929362E-3	-62.380648E-6	30.572588E-3	-51.241157E-6	29.907092E-3	54.004289E-6	31.624421E-3	29.426159E-6
-15.666665E-6	30.939326E-3	23.423749E-6	30.523395E-3	26.668591E-6	29.853383E-3	54.435281E-6	31.777032E-3	-81.044644E-6
-13.833334E-6	30.938558E-3	80.108948E-6	30.487826E-3	56.799112E-6	29.790709E-3	-2.5777636E-6	31.625491E-3	-50.715873E-6
-11.999997E-6	30.779062E-3	-26.369587E-6	30.445311E-3	-30.573687E-6	29.819258E-3	-69.452617E-6	31.581130E-3	46.009496E-6
-10.166666E-6	30.693023E-3	-79.664656E-6	30.381143E-3	-79.121543E-6	29.885093E-3	2.3250720E-6	31.459611E-3	50.441777E-6
-8.3333362E-6	30.615570E-3	7.2512203E-6	30.370353E-3	-50.477742E-6	29.875463E-3	68.463742E-6	31.297941E-3	-50.554569E-6
-6.4999986E-6	30.439580E-3	74.971649E-6	30.401807E-3	32.702173E-6	29.985284E-3	25.954765E-6	31.220302E-3	-79.576610E-6
-4.6666682E-6	30.326286E-3	-2.7044921E-6	30.385913E-3	48.653204E-6	30.072454E-3	-67.285051E-6	31.258650E-3	28.349345E-6
-2.8333307E-6	30.305669E-3	-93.410606E-6	30.392231E-3	-36.854712E-6	30.178657E-3	-81.427810E-6	31.217108E-3	73.265532E-6
-1.0000003E-6	30.356331E-3	-22.041704E-6	30.356504E-3	-78.389145E-6	30.234993E-3	22.846074E-6	31.231841E-3	-30.630898E-6
833.32998E-9	30.502396E-3	56.882811E-6	30.372186E-3	-14.651983E-6	30.301142E-3	69.063601E-6	31.181257E-3	-73.562696E-6
2.6666676E-6	30.625915E-3	37.348604E-6	30.345283E-3	83.853200E-6	30.265251E-3	-12.759330E-6	31.172127E-3	13.493512E-6
4.4999979E-6	30.645981E-3	-51.040923E-6	30.358158E-3	3.8981175E-6	30.278184E-3	-70.444861E-6	31.150101E-3	61.882100E-6
6.3333355E-6	30.826738E-3	-42.879627E-6	30.346893E-3	-57.284036E-6	30.251762E-3	-43.834236E-6	31.020112E-3	-19.037056E-6
8.1666658E-6	30.835308E-3	55.264416E-6	30.369861E-3	-53.561336E-6	30.190213E-3	53.554846E-6	30.968180E-3	-95.049232E-6
9.9999961E-6	30.841460E-3	61.670071E-6	30.209079E-3	34.412551E-6	30.194070E-3	51.941777E-6	30.948177E-3	-26.653066E-6
11.833334E-6	30.825149E-3	-57.427529E-6	30.178227E-3	52.575680E-6	30.208878E-3	-63.542160E-6	31.082209E-3	72.482340E-6
13.666664E-6	30.864248E-3	-65.953631E-6	30.105114E-3	-29.838926E-6	30.202197E-3	-82.189195E-6	31.130800E-3	18.171957E-6
15.500002E-6	30.946130E-3	12.175539E-6	30.196691E-3	-79.365156E-6	30.206442E-3	19.694531E-6	31.379621E-3	-73.172087E-6
17.333332E-6	31.111173E-3	65.397631E-6	30.134870E-3	-35.621011E-6	30.122358E-3	56.872013E-6	31.464145E-3	-46.841193E-6
19.166662E-6	31.186556E-3	-38.062833E-6	30.098399E-3	49.546521E-6	30.103821E-3	29.574163E-6	31.458002E-3	61.689541E-6
21.000000E-6	31.210240E-3	-43.945667E-6	30.039161E-3	57.631478E-6	30.064899E-3	-71.347960E-6	31.446021E-3	39.620969E-6
22.833330E-6	31.129710E-3	-9.6829408E-6	30.039703E-3	-33.630000E-6	30.138470E-3	-34.429919E-6	31.486999E-3	-56.347340E-6
24.666668E-6	31.034978E-3	66.296379E-6	29.936595E-3	-67.615991E-6	30.168761E-3	54.654836E-6	31.513374E-3	-42.406140E-6
26.500005E-6	30.863343E-3	3.6486372E-6	29.924052E-3	11.841394E-6	30.249750E-3	49.496884E-6	31.579647E-3	58.678444E-6
28.333328E-6	30.774163E-3	-83.737301E-6	29.932730E-3	67.167377E-6	30.289195E-3	364.56046E-9	31.706419E-3	56.942685E-6
30.166666E-6	30.834392E-3	-40.991854E-6	29.918276E-3	21.764286E-6	30.343972E-3	-74.159907E-6	31.824179E-3	-62.754669E-6
32.000004E-6	30.899918E-3	61.947037E-6	29.964913E-3	-55.123943E-6	30.389091E-3	905.17631E-9	31.772725E-3	-60.327115E-6
33.833327E-6	30.873919E-3	17.445447E-6	29.991126E-3	-57.678848E-6	30.421391E-3	50.625080E-6	31.706315E-3	37.562681E-6
35.666664E-6	30.831907E-3	-76.747434E-6	30.057535E-3	47.618516E-6	30.404637E-3	70.403992E-6	31.566780E-3	62.170730E-6
37.500002E-6	30.771034E-3	-50.778242E-6	30.042961E-3	47.971862E-6	30.443413E-3	-30.731295E-6	31.415842E-3	-40.899042E-6
39.333325E-6	30.618167E-3	38.282691E-6	30.076480E-3	-24.842537E-6	30.320100E-3	-77.354860E-6	31.367775E-3	-78.939142E-6
41.166662E-6	30.545630E-3	43.328051E-6	30.096136E-3	-70.911665E-6	30.316204E-3	6.4447290E-6	31.353708E-3	24.773493E-6
43.000000E-6	30.411011E-3	-65.906999E-6	30.112423E-3	-15.270078E-6	30.289458E-3	63.403953E-6	31.301986E-3	63.304251E-6
44.833338E-6	30.436395E-3	-60.453538E-6	30.095680E-3	58.162455E-6	30.227022E-3	10.151578E-6	31.325307E-3	-8.8893548E-6
46.666661E-6	30.463517E-3	20.785314E-6	30.241592E-3	30.893687E-6	30.193809E-3	-78.427816E-6	31.323418E-3	-72.402254E-6
48.499998E-6	30.557711E-3	64.555548E-6	30.251047E-3	-81.112325E-6	30.131122E-3	-45.341822E-6	31.266939E-3	-30.500787E-6
50.333336E-6	30.655731E-3	-33.930126E-6	30.279312E-3	-53.262524E-6	30.089695E-3	26.952048E-6	31.128764E-3	57.764792E-6
52.166659E-6	30.709703E-3	-51.823168E-6	30.139277E-3	3.5511121E-6	30.247256E-3	52.238902E-6	30.996790E-3	20.845353E-6
53.999996E-6	30.740801E-3	-8.2035813E-6	30.138891E-3	79.178681E-6	30.159298E-3	-43.781933E-6	30.949578E-3	-63.729596E-6
55.833334E-6	30.754922E-3	83.464802E-6	30.101962E-3	18.408960E-6	30.205214E-3	-89.518566E-6	31.039808E-3	-28.692222E-6
57.666657E-6	30.747514E-3	18.828880E-6	30.120617E-3	-81.968581E-6	30.207025E-3	-14.132548E-6	31.190081E-3	60.066333E-6
59.499995E-6	30.748954E-3	-70.459530E-6	30.152548E-3	-62.431449E-6	30.180478E-3	70.228569E-6	31.318247E-3	28.692411E-6
61.333332E-6	30.752921E-3	-55.661767E-6	30.125601E-3	46.812649E-6	30.174395E-3	34.419616E-6	31.358141E-3	-63.715524E-6
63.166670E-6	30.804668E-3	60.552269E-6	30.165326E-3	77.014171E-6	30.157806E-3	-51.068531E-6	31.404901E-3	-62.764215E-6
64.999993E-6	30.905219E-3	33.158525E-6	30.214269E-3	-11.622547E-6	30.157456E-3	-84.492465E-6	31.441823E-3	49.189104E-6
66.833330E-6	30.994602E-3	-82.236460E-6	30.210443E-3	-70.695605E-6	30.173475E-3	29.698400E-6	31.403467E-3	66.411812E-6
68.666668E-6	31.099740E-3	-64.439562E-6	30.218242E-3	-30.256693E-6	30.176520E-3	57.060079E-6	31.439919E-3	-51.732906E-6
70.499991E-6	31.199465E-3	47.678346E-6	30.258078E-3	59.693448E-6	30.161470E-3	-5.2487976E-6	31.422891E-3	-65.293912E-6
72.333329E-6	31.227270E-3	71.122704E-6	30.428903E-3	57.190409E-6	30.186992E-3	-73.130293E-6	31.558946E-3	24.773863E-6
74.166666E-6	31.301677E-3	-24.685654E-6	30.665204E-3	-46.723941E-6	30.168882E-3	-22.499536E-6	31.662546E-3	101.91365E-6
76.000004E-6	31.171791E-3	-76.388758E-6	30.725459E-3	-54.033935E-6	30.134337E-3	41.693515E-6	31.754278E-3	-3.1642064E-6
77.833327E-6	31.086517E-3	-42.443349E-6	30.822810E-3	6.4688661E-6	30.075364E-3	61.793697E-6	31.856250E-3	-92.372706E-6
79.666665E-6	31.021997E-3	60.798335E-6	30.854415E-3	66.298366E-6	30.047093E-3	-2.0439938E-6	31.704634E-3	-11.160939E-6
