Experiment	Sweeper	
Saved Date	30.06.2023 19:26:18	
User		
Date		
Start time	30.06.2023 19:14:13	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.068960E-3	49.391481E-6	30.788345E-3	-33.425084E-6	30.964632E-3	21.351381E-6	30.941352E-3	5.0519575E-6
-99.500001E-6	31.075886E-3	71.065260E-6	30.705081E-3	-91.278169E-6	30.986484E-3	54.011183E-6	30.945711E-3	57.182930E-6
-98.999997E-6	31.078542E-3	9.3071449E-6	30.641416E-3	-48.518901E-6	30.965535E-3	27.378452E-6	30.993901E-3	48.523158E-6
-98.500001E-6	31.056665E-3	-55.792985E-6	30.657336E-3	46.835601E-6	30.980017E-3	-38.665632E-6	31.028777E-3	-17.602841E-6
-97.999997E-6	31.041276E-3	-54.063061E-6	30.725725E-3	83.185223E-6	31.010158E-3	-78.660909E-6	31.120475E-3	-76.824763E-6
-97.500000E-6	31.031044E-3	68.667134E-6	30.787492E-3	34.774777E-6	31.011075E-3	-44.213106E-6	31.110656E-3	-45.439017E-6
-96.999996E-6	31.003792E-3	80.861486E-6	30.923923E-3	-40.980209E-6	31.058215E-3	31.859396E-6	31.100107E-3	44.762011E-6
-96.500000E-6	31.018842E-3	-6.8468030E-6	31.002963E-3	-80.919963E-6	31.098299E-3	78.976926E-6	31.121183E-3	75.056763E-6
-95.999996E-6	30.978896E-3	-87.291592E-6	31.076452E-3	-40.124367E-6	31.102369E-3	33.233886E-6	31.157745E-3	20.301648E-6
-95.500000E-6	31.008402E-3	-72.618379E-6	31.092528E-3	74.295756E-6	31.177903E-3	-50.360060E-6	31.152455E-3	-61.599094E-6
-94.999996E-6	31.029476E-3	47.554942E-6	31.144954E-3	75.822085E-6	31.251110E-3	-73.211137E-6	31.143958E-3	-36.569629E-6
-94.499999E-6	31.003507E-3	78.420730E-6	31.165421E-3	-6.6254906E-6	31.373471E-3	-11.937986E-6	31.113964E-3	-23.018047E-6
-93.999995E-6	30.967504E-3	3.1801981E-6	31.162757E-3	-56.339151E-6	31.407174E-3	71.441413E-6	31.157302E-3	62.516374E-6
-93.499999E-6	30.956529E-3	-73.670984E-6	31.172950E-3	-54.942528E-6	31.444028E-3	77.076307E-6	31.157127E-3	57.414418E-6
-92.999995E-6	30.962056E-3	-41.974330E-6	31.193856E-3	-11.789938E-6	31.449646E-3	-6.8766512E-6	31.203296E-3	-15.261783E-6
-92.499999E-6	30.939721E-3	52.573130E-6	31.170255E-3	59.328162E-6	31.409025E-3	-78.193931E-6	31.158213E-3	-70.119138E-6
-91.999995E-6	30.944474E-3	75.135431E-6	31.199589E-3	38.290767E-6	31.372905E-3	-59.231781E-6	31.194784E-3	-50.438299E-6
-91.499998E-6	30.929457E-3	-14.415872E-6	31.192305E-3	-8.1653980E-6	31.317666E-3	6.0776315E-6	31.205859E-3	29.330733E-6
-90.999994E-6	30.941810E-3	-64.049840E-6	31.247064E-3	-73.218755E-6	31.324115E-3	69.427035E-6	31.235902E-3	78.754972E-6
-90.499998E-6	30.880084E-3	-75.647135E-6	31.253770E-3	-75.203578E-6	31.271514E-3	42.413736E-6	31.346895E-3	36.902438E-6
-90.000001E-6	30.916726E-3	46.516157E-6	31.272281E-3	3.6618151E-6	31.243907E-3	-36.945828E-6	31.385694E-3	-57.187030E-6
-89.499998E-6	30.902779E-3	65.328371E-6	31.355958E-3	71.026261E-6	31.200018E-3	-74.203483E-6	31.460464E-3	-91.629452E-6
-88.999994E-6	30.904623E-3	-11.838884E-6	31.594444E-3	37.713897E-6	31.219803E-3	-45.212273E-6	31.518202E-3	-25.304269E-6
-88.499997E-6	30.910270E-3	-56.290079E-6	31.833746E-3	-38.656704E-6	31.208862E-3	38.741546E-6	31.597935E-3	45.048084E-6
-88.000001E-6	30.898539E-3	-33.265176E-6	31.876229E-3	-89.072615E-6	31.211691E-3	59.420985E-6	31.647313E-3	76.106997E-6
-87.499997E-6	30.928412E-3	16.749662E-6	31.885646E-3	-40.302821E-6	31.084063E-3	20.912843E-6	31.665064E-3	-2.0606576E-6
