Experiment	Sweeper	
Saved Date	30.06.2023 15:54:28	
User		
Date		
Start time	30.06.2023 15:53:23	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	0E+0	
Sweep channel: Stop (V)	100E-6	
Sweep channel: Points	51	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
0.0000000E+0	31.152280E-3	6.2833260E-6	31.604715E-3	-11.919552E-6	31.387985E-3	-65.837230E-6	31.212389E-3	40.575167E-6
2.0000000E-6	31.137260E-3	-73.488809E-6	31.623852E-3	64.452164E-6	31.350706E-3	-46.425565E-6	31.192917E-3	-10.927854E-6
4.0000000E-6	31.167893E-3	-39.281553E-6	31.652149E-3	38.608672E-6	31.349741E-3	13.603690E-6	31.219060E-3	-72.329785E-6
6.0000002E-6	31.172484E-3	68.230322E-6	31.652823E-3	-50.860464E-6	31.304527E-3	91.507129E-6	31.201690E-3	-37.218979E-6
8.0000000E-6	31.134706E-3	59.760958E-6	31.624563E-3	-87.989632E-6	31.344939E-3	41.935626E-6	31.230686E-3	32.582157E-6
9.9999997E-6	31.132625E-3	5.5972255E-6	31.627435E-3	-47.846246E-6	31.316858E-3	-66.610228E-6	31.203691E-3	49.774477E-6
12.000000E-6	31.156357E-3	-75.858050E-6	31.644754E-3	45.567973E-6	31.280503E-3	-75.588825E-6	31.164503E-3	11.940709E-6
14.000000E-6	31.127393E-3	-61.939427E-6	31.620897E-3	39.228049E-6	31.307023E-3	-17.763679E-6	31.189321E-3	-75.917807E-6
16.000000E-6	31.135658E-3	27.779832E-6	31.598706E-3	-10.079580E-6	31.341232E-3	57.285692E-6	31.204959E-3	-72.626281E-6
18.000001E-6	31.100653E-3	61.848084E-6	31.583104E-3	-80.725586E-6	31.301223E-3	51.425381E-6	31.157671E-3	9.4839379E-6
19.999999E-6	31.120911E-3	8.9490613E-6	31.591903E-3	-50.564926E-6	31.303506E-3	-22.422528E-6	31.164492E-3	55.094624E-6
22.000000E-6	31.172007E-3	-75.687443E-6	31.525288E-3	39.395742E-6	31.305324E-3	-63.267646E-6	31.115646E-3	52.764608E-6
24.000001E-6	31.104485E-3	-39.482944E-6	31.536326E-3	76.421158E-6	31.263337E-3	-36.869933E-6	31.018849E-3	-49.155271E-6
26.000000E-6	31.142062E-3	26.898844E-6	31.544555E-3	-4.0431232E-6	31.279653E-3	25.791900E-6	30.968361E-3	-70.385526E-6
28.000000E-6	31.146761E-3	67.540139E-6	31.509329E-3	-51.109553E-6	31.267840E-3	64.212145E-6	30.895611E-3	-32.664739E-6
29.999999E-6	31.113312E-3	2.7076690E-6	31.500924E-3	-78.320860E-6	31.276364E-3	13.693072E-6	30.903451E-3	64.495995E-6
32.000000E-6	31.100385E-3	-67.630514E-6	31.431369E-3	24.110934E-6	31.248739E-3	-72.965340E-6	30.884955E-3	77.138720E-6
34.000001E-6	31.114683E-3	-64.911277E-6	31.476051E-3	86.320753E-6	31.264905E-3	-65.234264E-6	30.838164E-3	-22.647122E-6
36.000001E-6	31.078303E-3	32.759093E-6	31.482711E-3	49.786777E-6	31.237034E-3	-5.3234712E-6	30.826107E-3	-49.095270E-6
37.999998E-6	31.075364E-3	77.156597E-6	31.424254E-3	-28.840597E-6	31.227808E-3	64.503576E-6	30.773839E-3	-56.738641E-6
39.999999E-6	31.120714E-3	18.045333E-6	31.384941E-3	-52.884443E-6	31.217432E-3	41.011834E-6	30.800177E-3	5.7614179E-6
42.000000E-6	31.108577E-3	-60.216236E-6	31.335127E-3	-20.963271E-6	31.203030E-3	-51.650954E-6	30.789290E-3	74.654388E-6
44.000000E-6	31.126831E-3	-50.859009E-6	31.327736E-3	63.412364E-6	31.208633E-3	-69.795904E-6	30.803457E-3	37.411668E-6
46.000001E-6	31.111574E-3	18.504095E-6	31.338140E-3	46.635687E-6	31.189099E-3	-28.828295E-6	30.833121E-3	-52.785865E-6
48.000002E-6	31.075878E-3	69.853399E-6	31.330030E-3	-44.270135E-6	31.124597E-3	52.571326E-6	30.892575E-3	-70.348950E-6
49.999999E-6	31.070013E-3	-314.21968E-9	31.322401E-3	-81.729137E-6	31.091908E-3	71.576833E-6	30.947564E-3	-12.096048E-6
51.999999E-6	31.113718E-3	-59.466533E-6	31.301904E-3	-12.613515E-6	31.070011E-3	8.8824218E-6	30.939674E-3	65.591252E-6
54.000000E-6	31.150116E-3	-65.273729E-6	31.311534E-3	45.899218E-6	31.046437E-3	-56.604036E-6	30.973164E-3	76.082724E-6
56.000001E-6	31.147137E-3	33.121214E-6	31.306174E-3	30.992229E-6	31.025911E-3	-49.010650E-6	30.981526E-3	-21.618996E-6
58.000001E-6	31.137353E-3	68.436937E-6	31.344239E-3	-25.627140E-6	30.989241E-3	39.596129E-6	30.990858E-3	-103.90781E-6
59.999998E-6	31.131787E-3	12.524208E-6	31.358309E-3	-89.851455E-6	30.895531E-3	72.134324E-6	31.029250E-3	-15.909041E-6
61.999999E-6	31.133052E-3	-57.818128E-6	31.362657E-3	-31.805364E-6	30.908586E-3	13.418256E-6	31.048175E-3	46.853562E-6
64.000000E-6	31.131234E-3	-61.301063E-6	31.325318E-3	47.833586E-6	30.849267E-3	-58.168676E-6	31.088246E-3	71.233328E-6
66.000001E-6	31.138852E-3	52.748706E-6	31.324092E-3	66.489374E-6	30.836023E-3	-87.172084E-6	31.076284E-3	6.8916006E-6
68.000001E-6	31.401291E-3	89.840949E-6	31.366937E-3	-7.6908009E-6	30.828578E-3	-23.082419E-6	31.091381E-3	-55.351928E-6
70.000002E-6	31.426407E-3	9.5991827E-6	31.348497E-3	-88.790621E-6	30.778930E-3	65.968037E-6	31.123230E-3	-51.746487E-6
72.000003E-6	31.422235E-3	-55.513337E-6	31.345367E-3	-44.109165E-6	30.778717E-3	60.851624E-6	31.117527E-3	31.625128E-6
74.000003E-6	31.425331E-3	-50.075560E-6	31.323433E-3	40.133924E-6	30.766044E-3	-36.067438E-6	31.304408E-3	74.530471E-6
75.999997E-6	31.400762E-3	26.197866E-6	31.291638E-3	60.650469E-6	30.800557E-3	-85.366068E-6	31.270977E-3	11.957402E-6
77.999997E-6	31.385224E-3	66.155175E-6	31.290866E-3	-22.164382E-6	30.785980E-3	-27.070799E-6	31.232653E-3	-53.011408E-6
79.999998E-6	31.424370E-3	37.504647E-6	31.305119E-3	-79.276404E-6	30.815838E-3	47.150039E-6	31.303305E-3	-73.425283E-6
81.999999E-6	31.428937E-3	-40.966876E-6	31.298231E-3	-27.898483E-6	30.874524E-3	80.312027E-6	31.330030E-3	-8.9188206E-6
83.999999E-6	31.395484E-3	-65.013061E-6	31.267222E-3	41.360436E-6	30.922987E-3	-413.79883E-9	31.333178E-3	38.252419E-6
86.000000E-6	31.440821E-3	44.630651E-6	31.256281E-3	78.536861E-6	30.925382E-3	-81.126716E-6	31.313896E-3	28.586031E-6
88.000001E-6	31.426493E-3	77.544784E-6	31.258777E-3	1.2974466E-6	30.983793E-3	-52.812979E-6	31.353913E-3	-29.010373E-6
90.000001E-6	31.418107E-3	39.740364E-6	31.285584E-3	-63.301755E-6	31.053839E-3	41.989628E-6	31.346615E-3	-89.078661E-6
92.000002E-6	31.442136E-3	-53.526055E-6	31.220345E-3	-44.466182E-6	31.370312E-3	76.312579E-6	31.331405E-3	-40.463874E-6
94.000003E-6	31.448841E-3	-94.727096E-6	31.158915E-3	29.343641E-6	31.335786E-3	24.168348E-6	31.367358E-3	54.747383E-6
96.000003E-6	31.437807E-3	-18.291870E-6	31.163959E-3	748.31385E-6	31.355478E-3	-70.885806E-6	31.970307E-3	496.50186E-6
97.999997E-6	31.411055E-3	57.948513E-6	31.164067E-3	661.76371E-6	31.385642E-3	-38.105343E-6	31.356640E-3	-20.947116E-6
99.999997E-6	31.429756E-3	50.885716E-6	32.908954E-3	275.73470E-6	31.413920E-3	-11.086073E-6	31.379495E-3	-82.741593E-6
