Experiment	Sweeper	
Saved Date	11.07.2023 12:12:04	
User		
Date		
Start time	11.07.2023 11:48:27	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.317998E-3	2.2656352E-3	-33.025950E-3	2.2278961E-3	-33.030968E-3	2.2581709E-3	-33.476699E-3	2.2420262E-3	-33.166304E-3	2.2120769E-3	-33.080034E-3	2.2306964E-3	-33.081956E-3	2.2652692E-3	-33.470988E-3	2.2590030E-3	-33.174548E-3	2.2390306E-3	-33.555619E-3	2.2598256E-3
-247.50000E-3	-32.621626E-3	2.2720397E-3	-32.419484E-3	2.2268887E-3	-32.145135E-3	2.2303851E-3	-32.780599E-3	2.2510097E-3	-32.490551E-3	2.2442373E-3	-32.467414E-3	2.2354687E-3	-32.408599E-3	2.2521035E-3	-32.777108E-3	2.2180357E-3	-32.481048E-3	2.2431782E-3	-32.860268E-3	2.2844418E-3
-245.00000E-3	-31.788435E-3	2.2358638E-3	-31.836100E-3	2.2264584E-3	-31.504735E-3	2.2439682E-3	-32.126233E-3	2.2660268E-3	-31.787690E-3	2.2464520E-3	-31.869370E-3	2.2171563E-3	-31.648096E-3	2.2429365E-3	-32.164205E-3	2.2338671E-3	-31.824257E-3	2.2316410E-3	-32.195222E-3	2.2604438E-3
-242.50001E-3	-31.103473E-3	2.2597485E-3	-31.316500E-3	2.2525857E-3	-30.772269E-3	2.2438883E-3	-31.447519E-3	2.2463240E-3	-31.097896E-3	2.2516185E-3	-31.300098E-3	2.2157656E-3	-30.946471E-3	2.2244682E-3	-31.521346E-3	2.2492460E-3	-31.127930E-3	2.2345162E-3	-31.525828E-3	2.2818851E-3
-239.99999E-3	-30.618155E-3	2.2627702E-3	-30.475019E-3	2.2360936E-3	-30.312361E-3	2.2432322E-3	-30.788446E-3	2.2393994E-3	-30.463079E-3	2.2566568E-3	-30.664839E-3	2.2589914E-3	-30.283667E-3	2.2176921E-3	-30.721266E-3	2.2687970E-3	-30.431736E-3	2.2295034E-3	-30.850273E-3	2.2757149E-3
-237.50000E-3	-29.954249E-3	2.2369241E-3	-29.723860E-3	2.2392275E-3	-29.646778E-3	2.2441372E-3	-30.115267E-3	2.2208404E-3	-29.711585E-3	2.2395728E-3	-29.984105E-3	2.2374843E-3	-29.628050E-3	2.2293800E-3	-30.067589E-3	2.2574235E-3	-29.768055E-3	2.2562307E-3	-30.193307E-3	2.2652152E-3
-235.00000E-3	-29.273992E-3	2.2406690E-3	-29.232288E-3	2.2420327E-3	-28.928401E-3	2.2324440E-3	-29.333774E-3	2.2205194E-3	-29.057639E-3	2.2598780E-3	-29.297518E-3	2.2544395E-3	-28.958270E-3	2.2868763E-3	-29.403184E-3	2.2202304E-3	-29.065246E-3	2.2530749E-3	-29.512092E-3	2.2351565E-3
-232.50000E-3	-28.596710E-3	2.2443666E-3	-28.629158E-3	2.2261702E-3	-28.228076E-3	2.2585464E-3	-28.633537E-3	2.2170893E-3	-28.405836E-3	2.2231843E-3	-28.630953E-3	2.2634033E-3	-28.299587E-3	2.2563420E-3	-28.733231E-3	2.2050268E-3	-28.392762E-3	2.2222416E-3	-28.838798E-3	2.2474290E-3
-230.00000E-3	-27.909890E-3	2.2490122E-3	-27.968744E-3	2.2201634E-3	-27.584907E-3	2.2456325E-3	-27.925376E-3	2.2231499E-3	-27.703859E-3	2.2317350E-3	-27.970001E-3	2.2251529E-3	-27.617937E-3	2.2646519E-3	-28.080199E-3	2.2217585E-3	-27.712101E-3	2.2046489E-3	-28.155977E-3	2.2179522E-3
-227.50001E-3	-27.248222E-3	2.2444790E-3	-27.350791E-3	2.2367146E-3	-26.859691E-3	2.2254642E-3	-27.301814E-3	2.2325446E-3	-27.051423E-3	2.2081106E-3	-27.342739E-3	2.2341700E-3	-27.001405E-3	2.2471030E-3	-27.383272E-3	2.2424415E-3	-27.024955E-3	2.2250812E-3	-27.469575E-3	2.2168607E-3
-224.99999E-3	-26.536534E-3	2.2290770E-3	-26.605761E-3	2.2184500E-3	-26.173549E-3	2.2160138E-3	-26.601242E-3	2.2392473E-3	-26.395772E-3	2.2279527E-3	-26.599638E-3	2.2328054E-3	-26.347218E-3	2.2643490E-3	-26.792131E-3	2.2085260E-3	-26.342349E-3	2.1974910E-3	-26.794942E-3	2.2325376E-3
-222.50000E-3	-25.871282E-3	2.2281453E-3	-25.901368E-3	2.2132271E-3	-25.523705E-3	2.2407803E-3	-25.927329E-3	2.2224509E-3	-25.770400E-3	2.2265124E-3	-25.847457E-3	2.2529480E-3	-25.657378E-3	2.2261657E-3	-26.140030E-3	2.2228109E-3	-25.693022E-3	2.2207457E-3	-26.128616E-3	2.2455330E-3
-220.00000E-3	-25.209013E-3	2.2480970E-3	-25.225600E-3	2.2278382E-3	-24.861751E-3	2.2309402E-3	-25.266560E-3	2.2148429E-3	-25.087683E-3	2.2343732E-3	-25.168845E-3	2.2226921E-3	-24.810581E-3	2.2460541E-3	-25.347903E-3	2.2271131E-3	-25.022414E-3	2.2449039E-3	-25.418598E-3	2.2552286E-3
-217.50000E-3	-24.535034E-3	2.2480912E-3	-24.528997E-3	2.2174646E-3	-24.197591E-3	2.2346219E-3	-24.602914E-3	2.1758678E-3	-24.449836E-3	2.1922246E-3	-24.512790E-3	2.2284337E-3	-24.222087E-3	2.2426778E-3	-24.613712E-3	2.2471487E-3	-24.360290E-3	2.2194413E-3	-24.761997E-3	2.2704646E-3
-215.00000E-3	-23.935519E-3	2.2163203E-3	-23.843478E-3	2.2153498E-3	-23.555635E-3	2.2258530E-3	-23.980031E-3	2.2114089E-3	-23.879664E-3	2.2032098E-3	-23.841880E-3	2.2524758E-3	-23.582622E-3	2.2407104E-3	-23.793617E-3	2.2182954E-3	-23.852928E-3	2.2306580E-3	-24.201535E-3	2.2076333E-3
-212.50001E-3	-23.185881E-3	2.2218304E-3	-23.209948E-3	2.2283460E-3	-22.908343E-3	2.2179952E-3	-23.375614E-3	2.2005816E-3	-23.207221E-3	2.2579799E-3	-23.178447E-3	2.2335488E-3	-22.886802E-3	2.2367539E-3	-23.171816E-3	2.2540609E-3	-23.260681E-3	2.2245159E-3	-23.571396E-3	2.1914472E-3
-210.00001E-3	-22.555184E-3	2.2098145E-3	-22.528771E-3	2.1853233E-3	-22.202913E-3	2.1956244E-3	-22.629619E-3	2.2157724E-3	-22.472531E-3	2.2404492E-3	-22.495775E-3	2.2029725E-3	-22.220701E-3	2.2495422E-3	-22.499414E-3	2.2186846E-3	-22.580240E-3	2.2047129E-3	-22.826483E-3	2.1824469E-3
-207.50000E-3	-21.843413E-3	2.2171736E-3	-21.864977E-3	2.1649806E-3	-21.528261E-3	2.2035278E-3	-21.951467E-3	2.2306428E-3	-21.735314E-3	2.2135440E-3	-21.776021E-3	2.2124774E-3	-21.558421E-3	2.2054887E-3	-21.885354E-3	2.2043961E-3	-21.928953E-3	2.1852821E-3	-22.106335E-3	2.2044927E-3
-205.00000E-3	-21.175366E-3	2.2130697E-3	-21.208230E-3	2.1965520E-3	-20.973161E-3	2.2302398E-3	-21.275429E-3	2.2700233E-3	-21.043576E-3	2.2055127E-3	-21.139396E-3	2.2091959E-3	-20.874817E-3	2.2666606E-3	-21.244518E-3	2.2022699E-3	-21.269767E-3	2.1996361E-3	-21.397395E-3	2.1963816E-3
-202.50000E-3	-20.482115E-3	2.2205603E-3	-20.510267E-3	2.1904821E-3	-20.329021E-3	2.2342191E-3	-20.626115E-3	2.2483636E-3	-20.376619E-3	2.1964759E-3	-20.501770E-3	2.2118327E-3	-20.216512E-3	2.2151878E-3	-20.591363E-3	2.1959702E-3	-20.588683E-3	2.2170511E-3	-20.760434E-3	2.2223459E-3
-200.00000E-3	-19.888006E-3	2.2170504E-3	-19.854309E-3	2.2115104E-3	-19.557012E-3	2.1951292E-3	-19.951664E-3	2.2003572E-3	-19.724222E-3	2.1957252E-3	-19.784076E-3	2.2004936E-3	-19.537542E-3	2.2251902E-3	-19.958112E-3	2.1521400E-3	-19.863188E-3	2.2382948E-3	-20.108720E-3	2.2294198E-3
-197.50001E-3	-19.172903E-3	2.2107223E-3	-19.103898E-3	2.2261061E-3	-18.875837E-3	2.1882616E-3	-19.237369E-3	2.2269269E-3	-19.152058E-3	2.1836227E-3	-19.143045E-3	2.2268249E-3	-18.828345E-3	2.1873659E-3	-19.207807E-3	2.1610535E-3	-19.164337E-3	2.2098662E-3	-19.296495E-3	2.1745593E-3
-194.99999E-3	-18.484591E-3	2.2025956E-3	-18.479515E-3	2.1848960E-3	-18.251168E-3	2.2050415E-3	-18.565932E-3	2.1927457E-3	-18.344443E-3	2.2136327E-3	-18.480875E-3	2.2121493E-3	-18.217411E-3	2.1788187E-3	-18.529642E-3	2.1645483E-3	-18.542558E-3	2.2153156E-3	-18.608516E-3	2.1756615E-3
-192.50000E-3	-17.820967E-3	2.2042531E-3	-17.829154E-3	2.1578379E-3	-17.604945E-3	2.2093053E-3	-17.897980E-3	2.1760776E-3	-17.705549E-3	2.1682063E-3	-17.817143E-3	2.2151349E-3	-17.575141E-3	2.2079486E-3	-17.951114E-3	2.1829170E-3	-17.764224E-3	2.2226581E-3	-17.933644E-3	2.1801025E-3
-190.00000E-3	-17.166696E-3	2.2392031E-3	-17.193330E-3	2.1598134E-3	-16.940914E-3	2.2166183E-3	-17.334588E-3	2.1676642E-3	-17.004667E-3	2.1918276E-3	-17.169202E-3	2.2271965E-3	-16.884377E-3	2.1872490E-3	-17.262852E-3	2.1744855E-3	-17.011687E-3	2.2103258E-3	-17.293755E-3	2.1757493E-3
-187.50000E-3	-16.508767E-3	2.1972936E-3	-16.622897E-3	2.1370635E-3	-16.264867E-3	2.2309676E-3	-16.735453E-3	2.1588802E-3	-16.345652E-3	2.1843952E-3	-16.486173E-3	2.2165638E-3	-16.144000E-3	2.1921606E-3	-16.618142E-3	2.1457616E-3	-16.376283E-3	2.1838844E-3	-16.598767E-3	2.1996021E-3
-185.00000E-3	-15.863137E-3	2.2014289E-3	-15.941616E-3	2.1278332E-3	-15.549493E-3	2.2253259E-3	-15.939990E-3	2.1748405E-3	-15.614063E-3	2.1730694E-3	-15.847662E-3	2.2068431E-3	-15.486230E-3	2.1466783E-3	-15.918968E-3	2.1441998E-3	-15.721308E-3	2.1674293E-3	-15.948035E-3	2.1928730E-3
-182.50000E-3	-15.183943E-3	2.1906509E-3	-15.221711E-3	2.1489135E-3	-14.900343E-3	2.2077784E-3	-15.305842E-3	2.1509074E-3	-14.949306E-3	2.1956351E-3	-15.168153E-3	2.1800746E-3	-14.831980E-3	2.1345066E-3	-15.250526E-3	2.1615259E-3	-15.078731E-3	2.1683050E-3	-15.342242E-3	2.1824711E-3
-180.00001E-3	-14.518345E-3	2.2101421E-3	-14.653356E-3	2.1549533E-3	-14.266003E-3	2.2210744E-3	-14.625383E-3	2.1460527E-3	-14.321449E-3	2.1794080E-3	-14.509789E-3	2.2060301E-3	-14.155759E-3	2.1361585E-3	-14.634210E-3	2.1533209E-3	-14.384310E-3	2.1739546E-3	-14.668411E-3	2.1973292E-3
-177.50001E-3	-13.959880E-3	2.2147479E-3	-14.028539E-3	2.1342854E-3	-13.574269E-3	2.2095854E-3	-13.990028E-3	2.1748408E-3	-13.631375E-3	2.1765924E-3	-13.818434E-3	2.2143936E-3	-13.501866E-3	2.1574025E-3	-14.062207E-3	2.1460641E-3	-13.745638E-3	2.1418096E-3	-13.937971E-3	2.2025262E-3
