Experiment	Sweeper	
Saved Date	10.07.2023 22:02:05	
User		
Date		
Start time	10.07.2023 21:42:51	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.269264E-3	2.2415689E-3	-33.388540E-3	2.2875767E-3	-33.139624E-3	2.2848716E-3	-33.374537E-3	2.2461712E-3	-33.309489E-3	2.2008398E-3	-33.363491E-3	2.2614282E-3	-33.100404E-3	2.2387747E-3	-33.358209E-3	2.2776930E-3	-33.253968E-3	2.2337150E-3	-0.0000000E+0	NaN
-247.50000E-3	-32.632362E-3	2.2362366E-3	-32.714739E-3	2.2560831E-3	-32.429945E-3	2.1855386E-3	-32.674756E-3	2.2438879E-3	-32.622810E-3	2.2721426E-3	-32.708328E-3	2.2390347E-3	-32.339420E-3	2.2513906E-3	-32.714196E-3	2.2660650E-3	-32.528616E-3	2.2367181E-3	-0.0000000E+0	NaN
-245.00000E-3	-31.952534E-3	2.2270221E-3	-32.044634E-3	2.2720990E-3	-31.781312E-3	2.2550414E-3	-31.995747E-3	2.2226272E-3	-31.940516E-3	2.2416553E-3	-32.000639E-3	2.2632130E-3	-31.658802E-3	2.2099735E-3	-32.030951E-3	2.2374687E-3	-31.862058E-3	2.2578782E-3	-0.0000000E+0	NaN
-242.50001E-3	-31.236643E-3	2.2426958E-3	-31.386491E-3	2.2361074E-3	-31.107618E-3	2.2233715E-3	-31.342376E-3	2.2464485E-3	-31.281795E-3	2.2575634E-3	-31.260706E-3	2.2736129E-3	-30.984253E-3	2.2966880E-3	-31.322438E-3	2.2580184E-3	-31.201974E-3	2.2405754E-3	-0.0000000E+0	NaN
-239.99999E-3	-30.610051E-3	2.2368249E-3	-30.723397E-3	2.2585660E-3	-30.424416E-3	2.2811145E-3	-30.685570E-3	2.2176898E-3	-30.573890E-3	2.2271441E-3	-30.614253E-3	2.2487994E-3	-30.328961E-3	2.2050508E-3	-30.661350E-3	2.2547373E-3	-30.544400E-3	2.2398685E-3	-0.0000000E+0	NaN
-237.50000E-3	-29.924573E-3	2.2416257E-3	-30.032970E-3	2.2695453E-3	-29.747033E-3	2.2233117E-3	-29.957879E-3	2.2484805E-3	-29.862652E-3	2.2429135E-3	-29.948076E-3	2.2470676E-3	-29.636055E-3	2.2444660E-3	-29.976832E-3	2.2465752E-3	-29.910438E-3	2.2520269E-3	-0.0000000E+0	NaN
-235.00000E-3	-29.258344E-3	2.2292731E-3	-29.349493E-3	2.2331590E-3	-29.078731E-3	2.2173245E-3	-29.295776E-3	2.2544269E-3	-29.216023E-3	2.2721260E-3	-29.202068E-3	2.2357316E-3	-28.968457E-3	2.2388685E-3	-29.331349E-3	2.2456187E-3	-29.344076E-3	2.2599658E-3	-0.0000000E+0	NaN
-232.50000E-3	-28.569469E-3	2.2174211E-3	-28.654823E-3	2.2424452E-3	-28.423013E-3	2.2618393E-3	-28.601829E-3	2.2488225E-3	-28.561553E-3	2.2386054E-3	-28.583005E-3	2.2437978E-3	-28.230017E-3	2.2254351E-3	-28.630041E-3	2.2680883E-3	-28.709704E-3	2.2501249E-3	-0.0000000E+0	NaN
-230.00000E-3	-27.878776E-3	2.2349039E-3	-28.014336E-3	2.2453666E-3	-27.757606E-3	2.2303774E-3	-27.978081E-3	2.2374580E-3	-27.879193E-3	2.2385528E-3	-27.905222E-3	2.2600489E-3	-27.597379E-3	2.2595576E-3	-27.914964E-3	2.2411677E-3	-28.031861E-3	2.2329881E-3	-0.0000000E+0	NaN
-227.50001E-3	-27.200811E-3	2.2157303E-3	-27.342482E-3	2.2574808E-3	-27.067155E-3	2.1837687E-3	-27.264675E-3	2.2351055E-3	-27.157212E-3	2.2259571E-3	-27.210711E-3	2.2320105E-3	-26.894046E-3	2.2003271E-3	-27.170334E-3	2.2659348E-3	-27.324667E-3	2.2301245E-3	-0.0000000E+0	NaN
