Experiment	Sweeper	
Saved Date	11.07.2023 18:30:45	
User		
Date		
Start time	11.07.2023 18:07:07	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.542052E-3	2.2348738E-3	-33.482555E-3	2.3371936E-3	-33.528589E-3	2.2315746E-3	-33.349343E-3	2.2495654E-3	-33.526264E-3	2.2732948E-3	-33.501890E-3	2.1584267E-3	-33.590149E-3	2.2128364E-3	-33.400565E-3	2.2334547E-3	-33.555839E-3	2.2591809E-3	-33.482175E-3	2.1826527E-3
-247.50000E-3	-32.849960E-3	2.2332033E-3	-32.786965E-3	2.3033319E-3	-32.874044E-3	2.2780462E-3	-32.665238E-3	2.2490602E-3	-32.788746E-3	2.2613457E-3	-32.794103E-3	2.1658607E-3	-32.894194E-3	2.2703118E-3	-32.708615E-3	2.2558628E-3	-32.872792E-3	2.2226651E-3	-32.792836E-3	2.2772504E-3
-245.00000E-3	-32.164238E-3	2.2282936E-3	-32.101709E-3	2.1712682E-3	-32.169737E-3	2.2326761E-3	-32.007258E-3	2.2572400E-3	-32.113835E-3	2.2223976E-3	-32.121487E-3	2.2694729E-3	-32.227837E-3	2.2319478E-3	-32.138530E-3	2.2614696E-3	-32.136232E-3	2.2536248E-3	-32.116491E-3	2.3059982E-3
-242.50001E-3	-31.486243E-3	2.2563529E-3	-31.465214E-3	2.1562574E-3	-31.507768E-3	2.2443561E-3	-31.191390E-3	2.2653136E-3	-31.390641E-3	2.2527385E-3	-31.457521E-3	2.3442651E-3	-31.557858E-3	2.2600659E-3	-31.400561E-3	2.2443207E-3	-31.454641E-3	2.2148569E-3	-31.456906E-3	2.1910195E-3
-239.99999E-3	-30.815961E-3	2.2291464E-3	-30.826226E-3	2.3198132E-3	-30.838916E-3	2.2438776E-3	-30.512504E-3	2.2240616E-3	-30.778542E-3	2.2440013E-3	-30.774295E-3	2.3296445E-3	-30.899728E-3	2.2285141E-3	-30.675353E-3	2.2465652E-3	-30.807788E-3	2.2357546E-3	-30.776322E-3	2.2718811E-3
-237.50000E-3	-30.132808E-3	2.2628196E-3	-30.162357E-3	2.2892666E-3	-30.188208E-3	2.2494197E-3	-30.014973E-3	2.2478565E-3	-30.103786E-3	2.2585874E-3	-30.112125E-3	2.2129263E-3	-30.247547E-3	2.2620440E-3	-30.051135E-3	2.2648599E-3	-30.108403E-3	2.2060894E-3	-30.143786E-3	2.2832020E-3
-235.00000E-3	-29.437482E-3	2.2758923E-3	-29.485123E-3	2.1530327E-3	-29.621178E-3	2.2226749E-3	-29.329993E-3	2.2427782E-3	-29.591247E-3	2.2681179E-3	-29.515624E-3	2.1589794E-3	-29.580483E-3	2.2165936E-3	-29.363457E-3	2.2385502E-3	-29.454175E-3	2.2250095E-3	-29.446732E-3	2.1666130E-3
-232.50000E-3	-28.730806E-3	2.2639979E-3	-28.784230E-3	2.3173098E-3	-28.941067E-3	2.2250246E-3	-28.689206E-3	2.2684624E-3	-28.914569E-3	2.2733356E-3	-28.825406E-3	2.2054513E-3	-28.843308E-3	2.2437589E-3	-28.677054E-3	2.2401190E-3	-28.738221E-3	2.2377134E-3	-28.771505E-3	2.2937718E-3
-230.00000E-3	-28.095955E-3	2.2431354E-3	-28.082842E-3	2.2346550E-3	-28.268900E-3	2.2399477E-3	-28.022181E-3	2.2188812E-3	-28.294161E-3	2.2515256E-3	-28.156115E-3	2.2742026E-3	-28.143752E-3	2.2277085E-3	-28.040070E-3	2.2395719E-3	-28.106796E-3	2.2545725E-3	-28.143039E-3	2.1990901E-3
-227.50001E-3	-27.387476E-3	2.2494162E-3	-27.432842E-3	2.1809875E-3	-27.571514E-3	2.2387977E-3	-27.335439E-3	2.2610822E-3	-27.624788E-3	2.2005169E-3	-27.483659E-3	2.3364217E-3	-27.521571E-3	2.2147822E-3	-27.382391E-3	2.2340401E-3	-27.507707E-3	2.2686427E-3	-27.469872E-3	2.2048634E-3
-224.99999E-3	-26.721651E-3	2.2231608E-3	-26.940919E-3	2.2998569E-3	-26.893266E-3	2.2418431E-3	-26.648024E-3	2.2433801E-3	-26.894452E-3	2.2370033E-3	-26.810730E-3	2.2635837E-3	-26.804367E-3	2.2307553E-3	-26.713924E-3	2.2229359E-3	-26.794402E-3	2.2188541E-3	-26.742160E-3	2.2977893E-3
-222.50000E-3	-26.172109E-3	2.2179661E-3	-26.265455E-3	2.1459705E-3	-26.234724E-3	2.2109493E-3	-25.945909E-3	2.2377227E-3	-26.278833E-3	2.2164138E-3	-26.119687E-3	2.1454268E-3	-26.126433E-3	2.2233699E-3	-26.050828E-3	2.2432085E-3	-26.107341E-3	2.2053397E-3	-26.081195E-3	2.1724957E-3
