Experiment	Sweeper	
Saved Date	10.07.2023 21:10:21	
User		
Date		
Start time	10.07.2023 20:46:43	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.578213E-3	2.2744904E-3	-32.960072E-3	2.2529503E-3	-33.472601E-3	2.2029136E-3	-33.402435E-3	2.2266326E-3	-33.458315E-3	2.2045819E-3	-32.961618E-3	2.2382534E-3	-33.445239E-3	2.2645385E-3	-33.389520E-3	2.2756488E-3	-33.490885E-3	2.2129444E-3	-33.341084E-3	2.2215894E-3
-247.50000E-3	-32.970183E-3	2.2430785E-3	-32.323509E-3	2.2469875E-3	-32.801285E-3	2.2167678E-3	-32.760747E-3	2.2451340E-3	-32.778572E-3	2.2563701E-3	-32.276757E-3	2.2391749E-3	-32.806601E-3	2.2377931E-3	-32.682568E-3	2.2787715E-3	-32.903474E-3	2.2574314E-3	-32.651335E-3	2.2887227E-3
-245.00000E-3	-32.244109E-3	2.2520453E-3	-31.626582E-3	2.2414241E-3	-32.126334E-3	2.2512937E-3	-32.099348E-3	2.2753899E-3	-32.135963E-3	2.2130585E-3	-31.597607E-3	2.2360415E-3	-32.121032E-3	2.2056771E-3	-32.036837E-3	2.2590724E-3	-32.203093E-3	2.2279671E-3	-31.986453E-3	2.2102850E-3
-242.50001E-3	-31.585220E-3	2.2271208E-3	-30.993938E-3	2.2624163E-3	-31.462673E-3	2.2842230E-3	-31.410016E-3	2.2610426E-3	-31.470027E-3	2.2803203E-3	-30.942101E-3	2.2574412E-3	-31.457607E-3	2.2130650E-3	-31.430796E-3	2.2650717E-3	-31.517841E-3	2.2354741E-3	-31.296093E-3	2.2784146E-3
-239.99999E-3	-30.914892E-3	2.2533995E-3	-30.288104E-3	2.2205671E-3	-30.792437E-3	2.2285867E-3	-30.713294E-3	2.2462860E-3	-30.800678E-3	2.2348359E-3	-30.291269E-3	2.2534833E-3	-30.746479E-3	2.2571688E-3	-30.782508E-3	2.2421281E-3	-30.835869E-3	2.2679197E-3	-30.589653E-3	2.2355639E-3
-237.50000E-3	-30.211488E-3	2.2444879E-3	-29.592013E-3	2.2429191E-3	-30.094352E-3	2.2062063E-3	-30.050468E-3	2.2470842E-3	-30.145196E-3	2.2441503E-3	-29.623853E-3	2.2418790E-3	-30.062264E-3	2.2330540E-3	-30.095998E-3	2.2266596E-3	-30.091953E-3	2.2459601E-3	-29.914727E-3	2.2726164E-3
-235.00000E-3	-29.538371E-3	2.2345558E-3	-28.952697E-3	2.2613695E-3	-29.381847E-3	2.2780353E-3	-29.382410E-3	2.2424997E-3	-29.465798E-3	2.2397363E-3	-28.849933E-3	2.2469235E-3	-29.395750E-3	2.2022566E-3	-29.411651E-3	2.2270510E-3	-29.401612E-3	2.2367556E-3	-29.256715E-3	2.2100685E-3
-232.50000E-3	-28.839607E-3	2.2568256E-3	-28.269257E-3	2.2563245E-3	-28.727997E-3	2.2676687E-3	-28.708695E-3	2.2365577E-3	-28.789131E-3	2.2437985E-3	-28.093906E-3	2.2538239E-3	-28.702244E-3	2.2724485E-3	-28.763430E-3	2.2345695E-3	-28.748175E-3	2.2420385E-3	-28.570518E-3	2.2605273E-3
-230.00000E-3	-28.156858E-3	2.2372403E-3	-27.565930E-3	2.2370298E-3	-28.060781E-3	2.1826462E-3	-28.009841E-3	2.2443400E-3	-28.085208E-3	2.2336030E-3	-27.413957E-3	2.2314063E-3	-28.046023E-3	2.2197701E-3	-28.209250E-3	2.2314279E-3	-28.047331E-3	2.2422390E-3	-27.904982E-3	2.2217138E-3
-227.50001E-3	-27.486840E-3	2.2258060E-3	-26.890500E-3	2.2230581E-3	-27.394682E-3	2.2545427E-3	-27.383130E-3	2.2429014E-3	-27.411699E-3	2.2359050E-3	-26.687030E-3	2.2462301E-3	-27.382549E-3	2.2037423E-3	-27.508540E-3	2.2530234E-3	-27.405793E-3	2.2396368E-3	-27.262941E-3	2.2387819E-3
