Experiment	Sweeper	
Saved Date	11.07.2023 12:54:06	
User		
Date		
Start time	11.07.2023 12:30:28	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.324338E-3	2.2557077E-3	-33.530287E-3	2.2156425E-3	-33.231575E-3	2.2503613E-3	-33.474341E-3	2.1953604E-3	-33.291291E-3	2.2583171E-3	-33.494350E-3	2.2414008E-3	-33.243086E-3	2.1787256E-3	-33.464525E-3	2.2532756E-3	-33.268709E-3	2.3012361E-3	-32.814115E-3	2.2949495E-3
-247.50000E-3	-32.618258E-3	2.2760583E-3	-32.912381E-3	2.2285909E-3	-32.532796E-3	2.2179177E-3	-32.779127E-3	2.3101969E-3	-32.602523E-3	2.1781146E-3	-32.802962E-3	2.2101819E-3	-32.564625E-3	2.3023554E-3	-32.785576E-3	2.2100625E-3	-32.590449E-3	2.2806537E-3	-32.133866E-3	2.2177096E-3
-245.00000E-3	-31.938095E-3	2.2719731E-3	-32.232739E-3	2.2379789E-3	-31.850334E-3	2.2375025E-3	-32.107364E-3	2.2519671E-3	-31.945780E-3	2.2605367E-3	-32.099247E-3	2.2419093E-3	-31.894993E-3	2.2564856E-3	-32.132596E-3	2.2804779E-3	-31.866971E-3	2.2110734E-3	-31.446889E-3	2.1944451E-3
-242.50001E-3	-31.230198E-3	2.2580926E-3	-31.505540E-3	2.2190465E-3	-31.194309E-3	2.3258198E-3	-31.426359E-3	2.2255036E-3	-31.255219E-3	2.2816795E-3	-31.430237E-3	2.2435039E-3	-31.261578E-3	2.2183175E-3	-31.436391E-3	2.1855680E-3	-31.216837E-3	2.2673730E-3	-30.820798E-3	2.2981807E-3
-239.99999E-3	-30.564170E-3	2.2750506E-3	-30.801388E-3	2.2179731E-3	-30.545089E-3	2.1915429E-3	-30.744961E-3	2.3026415E-3	-30.596800E-3	2.2555138E-3	-30.739648E-3	2.2732096E-3	-30.684309E-3	2.2670091E-3	-30.739408E-3	2.3110148E-3	-30.573364E-3	2.2928785E-3	-30.223863E-3	2.2422469E-3
-237.50000E-3	-29.952981E-3	2.2690585E-3	-30.095696E-3	2.2539892E-3	-29.893702E-3	2.2945062E-3	-30.067138E-3	2.2233492E-3	-29.951688E-3	2.2084294E-3	-30.005714E-3	2.2570528E-3	-29.931277E-3	2.2437763E-3	-30.072501E-3	2.1798634E-3	-29.795730E-3	2.2514889E-3	-29.556626E-3	2.2042100E-3
-235.00000E-3	-29.301578E-3	2.2472034E-3	-29.467806E-3	2.2557830E-3	-29.141951E-3	2.2352131E-3	-29.418765E-3	2.2124988E-3	-29.229335E-3	2.2478211E-3	-29.331723E-3	2.2473547E-3	-29.247131E-3	2.2147889E-3	-29.419053E-3	2.2818337E-3	-29.087117E-3	2.2082666E-3	-28.894253E-3	2.2860405E-3
-232.50000E-3	-28.652314E-3	2.2363758E-3	-28.785655E-3	2.2399239E-3	-28.518090E-3	2.1739013E-3	-28.714914E-3	2.1931501E-3	-28.513951E-3	2.2922098E-3	-28.634252E-3	2.2360072E-3	-28.583802E-3	2.2947635E-3	-28.720936E-3	2.1977387E-3	-28.391277E-3	2.2683791E-3	-28.290438E-3	2.2238616E-3
-230.00000E-3	-27.962197E-3	2.2276887E-3	-28.113069E-3	2.2391661E-3	-27.836489E-3	2.2341518E-3	-28.055670E-3	2.2292277E-3	-27.842445E-3	2.2185300E-3	-28.024256E-3	2.2140234E-3	-27.916754E-3	2.2090990E-3	-28.008476E-3	2.2462667E-3	-27.739761E-3	2.1827251E-3	-27.611848E-3	2.3054192E-3
-227.50001E-3	-27.302420E-3	2.2578058E-3	-27.444325E-3	2.2248984E-3	-27.166896E-3	2.2882833E-3	-27.355719E-3	2.2496264E-3	-27.183658E-3	2.2216677E-3	-27.314657E-3	2.2057092E-3	-27.222877E-3	2.2229087E-3	-27.369179E-3	2.2174185E-3	-27.037641E-3	2.2867252E-3	-26.905620E-3	2.1995632E-3
